dispute_id,payment_id,reason_code,raised_at,disputed_amount
dsp_k6jkmzyj7a78,pay_3uj64jvnqpyt71,not_received,2026-03-18 23:54:40,1642.89
dsp_h74a238ggjxs,pay_e5vh3jqxckc8ss,not_received,2026-03-19 00:09:59,18827.86
dsp_xzoee1ct35v1,pay_s9wg75bih98etm,not_as_described,2026-03-19 00:17:12,2081.36
dsp_o6lparuiw4t8,pay_ny3e9ietb0sxfv,subscription_cancelled,2026-03-19 13:00:29,263.0
dsp_kfjfjzzz589z,pay_jd7s2v100pld3v,fraud,2026-03-19 13:07:02,956.0
dsp_hyw76yw66u9y,pay_myvojlloashx0m,not_as_described,2026-03-20 02:28:47,2822.21
dsp_39xdpmnavn3x,pay_pbwrtiv6mqia96,duplicate,2026-03-21 00:53:50,7509.85
dsp_riw6ur1sumv3,pay_cbss2uqzp4bbi0,not_as_described,2026-03-21 00:56:05,1020.0
dsp_a9wx8j2vjy1d,pay_6rygsua0xd75ml,fraud,,587.0
dsp_mh3oyrb87kbu,pay_qofhvni3pvjkva,not_as_described,,17983.12
dsp_qpf9lk61u18d,pay_2n2n3h42cdbp1f,not_received,2026-03-21 19:20:01,910.0
dsp_d4ecdvriih1o,pay_rdqdswzsyag9c4,not_received,2026-03-21 21:19:49,8713.67
dsp_g17l3u0f5rwk,pay_w4nf049n690kg1,not_as_described,2026-03-22 20:52:29,653.01
dsp_8f4c7lg5xufn,pay_r8zb9e90kiaq6o,duplicate,2026-03-23 07:18:54,586.0
dsp_jgtbbqtaw66g,pay_vzezcsog7tdtgr,subscription_cancelled,2026-03-23 14:07:53,1860.61
dsp_061t522uhij8,pay_ms90jxk6w0zv7o,fraud,2026-03-23 21:26:23,2465.21
dsp_v7xbm3gx8gnx,pay_pn4e7q3gwshw3h,subscription_cancelled,2026-03-24 00:20:53,263.0
dsp_entgkj13fdbn,pay_q1daoj4zvp9ool,fraud,2026-03-24 02:25:04,9116.63
dsp_h2s0jjjhipt1,pay_euwcokf9orlwe3,not_received,2026-03-24 03:47:53,4353.2
dsp_prkfj426s150,pay_sugkga07uza2vw,not_as_described,2026-03-24 09:22:32,1419.32
dsp_6bchj1khd4wa,pay_9coy1drlwict1c,subscription_cancelled,2026-03-24 10:30:50,460.0
dsp_eacci9yzop4g,pay_ia5shttiyhfa0g,not_as_described,2026-03-25 04:15:24,220.0
dsp_fmdwovsl53t8,pay_8gp6ftflnc0th7,not_received,2026-03-25 13:25:13,17098.81
dsp_gd0lnt0ork8o,pay_5ukgoysdsy3ic6,not_as_described,2026-03-26 22:24:04,628.46
dsp_wlmg0k9wumob,pay_cef5qu2lpe4v91,duplicate,2026-03-27 07:39:47,5974.02
dsp_e4e07h7d6z55,pay_dqv4j3wffdnele,not_as_described,2026-03-28 01:57:07,586.0
dsp_5u5s7073uc8a,pay_tr1bp4ng3cts3z,not_received,2026-03-28 03:30:09,5485.41
dsp_kzdtieuep9fj,pay_b95iezdbo16vuw,fraud,2026-03-28 03:42:01,3264.99
dsp_fem5hnyv6yke,pay_wr0m68lpu0enwh,not_received,2026-03-28 13:40:18,1164.53
dsp_22cv8bfoetzn,pay_kjs1mfhtj178xc,not_received,2026-03-29 11:27:38,1057.41
dsp_e10rs5zzdqou,pay_oou0co62h1fgwp,not_as_described,2026-03-30 09:05:03,825.83
dsp_0n422meyvk4d,pay_61g0pav8q99rcp,not_received,2026-03-30 14:24:36,10046.1
dsp_0zx9gc7icn1u,pay_dj3vbbh3ht8gy6,fraud,2026-03-30 14:38:00,1937.0
dsp_cirfl62zma0n,pay_6gchwtv95zfmz4,not_received,2026-03-31 01:33:24,2003.49
dsp_sz4qyhi6a5v6,pay_bm1ajs8hscnjh6,not_received,2026-03-31 10:49:02,95.43
dsp_foo37sisiteb,pay_v5rz31r9kjij3s,subscription_cancelled,2026-03-31 20:59:06,1407.0
dsp_rxwcdgmurki6,pay_sg0nuovpo76lxh,fraud,2026-04-01 19:15:43,470.0
dsp_gj0v75hyw3u2,pay_yduoxz3v1puduo,not_received,2026-04-01 23:52:28,253.0
dsp_hn1rlijnrja0,pay_8go76t655w8qdm,not_as_described,2026-04-02 00:36:58,2457.88
dsp_tf2tlt44l4v3,pay_nyqjfascx601uq,fraud,2026-04-03 13:51:03,1937.0
dsp_cc6sn87zsko9,pay_1gct0wbh4pjbkp,not_received,2026-04-03 21:33:20,6832.96
dsp_go1dnb5dqe12,pay_4mqsbkp2xrimcf,subscription_cancelled,2026-04-03 23:10:01,586.0
dsp_rzqtvci6o368,pay_xf8dccebuypo2c,fraud,2026-04-04 03:04:00,587.0
dsp_33b6j464kdsz,pay_6kzjp238of4lf3,subscription_cancelled,2026-04-04 14:33:45,262.0
dsp_n0q60xukooxx,pay_c16qd1m5hz0uvd,duplicate,2026-04-05 05:40:59,11178.76
dsp_rx6rph34o8ku,pay_kuct04c4pattbn,fraud,2026-04-05 08:53:15,5313.16
dsp_qbrvrz4rj47h,pay_t0mr4bzp4amq43,subscription_cancelled,2026-04-05 12:55:31,1448.0
dsp_jhf7lyvn2y7w,pay_gyq4teyu0591wd,not_as_described,2026-04-06 09:23:55,4788.63
dsp_ywv5352yhmti,pay_qm2vz2qdukw06m,subscription_cancelled,2026-04-06 16:27:33,4083.19
dsp_oyxq4yuoln30,pay_m097t4km80yr73,not_as_described,2026-04-06 19:52:10,1010.0
dsp_un6zme6u3rxa,pay_nj5qfm0jrr074x,fraud,2026-04-07 10:34:40,587.0
dsp_flc2nhz1djkk,pay_iwbimmy39p41k7,subscription_cancelled,2026-04-08 03:58:28,586.0
dsp_p2ch1hnl1mid,pay_kdixaqysv6a1o5,subscription_cancelled,2026-04-08 04:28:18,586.0
dsp_s51bhez7328h,pay_19zioiny8hfjt0,duplicate,2026-04-08 19:06:49,5927.47
dsp_dxujk8w7o8x3,pay_h25xpzj31j48au,fraud,2026-04-08 19:08:52,232.0
dsp_hezwc9cm97vj,pay_l3r8ibag8tk6iz,not_received,2026-04-08 21:24:24,4146.64
dsp_janfzk6nasrw,pay_nozrljsxyj67f5,fraud,2026-04-08 21:55:55,73117.69
dsp_kpq9mqt95ur5,pay_fy2du4elt026u2,fraud,2026-04-08 22:08:06,956.0
dsp_88pcblvizxgx,pay_iltr5mstyn72x1,not_as_described,2026-04-09 13:42:45,2020.96
dsp_0cch1z1r5490,pay_n6gqwjaklc4zwu,duplicate,2026-04-09 18:23:11,50498.97
dsp_kr2tehvcaxgf,pay_10zg1diqp1l28b,duplicate,2026-04-09 19:39:18,8732.23
dsp_sc6isnab3apg,pay_tqaet0go14ek24,fraud,2026-04-10 19:10:29,4668.62
dsp_huprruqhgmld,pay_cogs0h853upswt,duplicate,2026-04-11 01:13:24,10317.35
dsp_xluvz8pi5685,pay_ki27gtifppitzz,fraud,2026-04-11 02:33:23,32578.99
dsp_0yr7gn9666m2,pay_jvsyrb22n0cwvo,not_as_described,2026-04-11 03:18:28,2195.81
dsp_4mwxm4u95jyi,pay_92xqhldff5iobj,not_as_described,2026-04-13 01:33:41,1527.16
dsp_p12zvb11cndp,pay_ef52gwdmlh9r4g,not_received,2026-04-13 06:31:10,5635.81
dsp_8gnoobd9z7w4,pay_7s4csig932ukzn,fraud,2026-04-13 07:48:19,1025.0
dsp_7vjqgtpect73,pay_czsnbogidpg72a,not_as_described,2026-04-14 11:51:56,396.53
dsp_oxi9s3rvv28c,pay_3h8y9d0aqenwh1,not_received,2026-04-14 14:49:44,695.8
dsp_tfkghcqfkzw3,pay_d119xbiq8nvnbs,not_received,2026-04-15 02:32:09,15070.74
dsp_kntnqwbnfzxg,pay_5ytwkbl6pr6o64,not_received,2026-04-15 19:45:58,1430.0
dsp_19f2ojpm1zjb,pay_bq9u7oijtzoaho,not_received,2026-04-16 04:52:28,866.12
dsp_30gzz19pjdeh,pay_neztkzbmoyscds,not_received,2026-04-16 08:00:56,929.15
dsp_rlokxfmw7mcy,pay_ptj3yzaqra6wdv,not_as_described,2026-04-16 17:09:44,1870.07
dsp_x2icuoad7eit,pay_gbysy5t1624q8r,unclassified,2026-04-17 04:44:09,434.0
dsp_qbcxrbi2v4x2,pay_mavt5vyvb898r2,subscription_cancelled,2026-04-17 18:20:54,201.21
dsp_03xsckx6o9vg,pay_j1705asw0oatgm,fraud,2026-04-18 05:38:32,1884.0
dsp_x5oxgu2aog7q,pay_yzumk1jjd0cqi3,not_as_described,2026-04-18 08:15:45,96.0
dsp_pujlcy5j7o07,pay_nzszoxuwa4o1i7,fraud,2026-04-18 18:24:33,2174.0
dsp_06jpyavhgtu0,pay_6nm6il0jeccr03,not_received,2026-04-18 23:54:28,345.39
dsp_0ah7vluc3vr1,pay_4b7d2nk5mn899b,fraud,2026-04-19 08:21:23,434.0
dsp_hyby93dfg4bv,pay_s2v1ucn7xmkw8i,fraud,2026-04-20 05:03:22,36371.33
dsp_vl9ka4okdyi6,pay_fexiba9azkcmbs,fraud,2026-04-21 04:12:40,13770.61
dsp_dp5882dkgjuy,pay_8eup2b89hlwpim,not_received,2026-04-21 05:11:47,13407.78
dsp_28bvc7s2kyc0,pay_fwtb5dxpivd0lq,subscription_cancelled,2026-04-21 05:46:26,271.0
dsp_omjk7uo63aps,pay_5s6ccl7stc7yxq,not_received,2026-04-21 10:17:05,3079.65
dsp_nkly0q8jmr0t,pay_nefae4c9vn463y,duplicate,2026-04-21 10:20:13,28113.38
dsp_u1gckhr95q8p,pay_8dilavan0609go,fraud,2026-04-21 11:54:07,279.0
dsp_fb2m3yete5pi,pay_fruwcra5womna5,not_received,2026-04-21 17:09:51,6245.74
dsp_sr7e80eldazn,pay_ahovoy87cazusd,not_received,2026-04-22 14:42:22,420.0
dsp_w2xyq8kq5amx,pay_h228ga76uxhtsw,not_as_described,2026-04-23 04:42:23,1474.66
dsp_tlec72kn6zpj,pay_mib2mrziysha37,not_received,2026-04-23 11:34:26,6981.85
dsp_cpz8ilfn2ssi,pay_udxa6pw3xuxmy6,fraud,2026-04-23 23:23:28,2512.59
dsp_alozxgj161w9,pay_fwjb87zr2alvyz,not_received,2026-04-24 01:05:35,22499.1
dsp_vpma2h2o3664,pay_gmt5wljoq9xg3r,not_received,2026-04-24 05:35:57,933.05
dsp_naonm05ovtgd,pay_ba2hbh011mlnwk,not_received,2026-04-24 19:00:51,5653.43
dsp_inh96z65m726,pay_an3sa00bymn9iy,fraud,2026-04-25 06:31:50,956.0
dsp_zl6mvsw8mmxm,pay_g3mlhborkr5j9p,fraud,2026-04-25 11:45:41,14877.43
dsp_p0tz3pw4e3r2,pay_m8brnsoafcqm3g,not_as_described,2026-04-25 22:52:55,2108.87
dsp_aoui33q42atz,pay_iywctn91h46rv8,fraud,2026-04-27 03:04:22,2974.59
dsp_vgom39cjz5x1,pay_v6aran7ts2htvj,not_received,2026-04-27 09:54:33,6523.17
dsp_gh03zez6ibrx,pay_k99obk9c5x55hs,fraud,2026-04-27 13:49:06,3059.8
dsp_uy0ppm8njq48,pay_83dpugcukuedxq,not_received,2026-04-27 20:07:36,4471.95
dsp_zd2zogz02q7i,pay_i4fmvir4z8thex,not_as_described,2026-04-28 02:16:42,3064.52
dsp_awj2e4j4udl2,pay_y1riesrkqewges,subscription_cancelled,2026-04-28 05:25:34,434.0
dsp_m9weua233vpf,pay_pw2endke3hhxs5,not_received,2026-04-28 08:50:22,11638.38
dsp_z4k13tydhe69,pay_7ngv1v7y7czy41,not_as_described,2026-04-28 20:50:43,1625.02
dsp_c7hz0kifhxco,pay_4j1s3w9qwyjl7b,not_received,2026-04-29 12:42:55,470.0
dsp_xk83l8lj118v,pay_x9bqow3bxlbk50,duplicate,2026-04-29 17:18:35,3968.13
dsp_1xp9io2f2d07,pay_15efsfws5gqjse,not_received,2026-04-29 17:28:24,3526.26
dsp_7rs15l5egsev,pay_9nbi7ffb41di0k,fraud,2026-04-29 18:37:49,96.57
dsp_sooq7n1xpdm7,pay_r0lagvt2uytir2,not_as_described,2026-04-29 18:58:27,684.3
dsp_4s3auip9pnyp,pay_lhnpxfrhaylkp0,fraud,2026-04-30 04:28:24,1485.67
dsp_b5n9vnrbf050,pay_6s0abq928a94yf,duplicate,2026-04-30 08:38:07,255.29
dsp_tf8qksgzcont,pay_qf496zncjj8nd2,not_as_described,2026-04-30 10:18:23,2070.0
dsp_wggsdjn6rbrk,pay_k01ztt23v3qebx,not_as_described,2026-04-30 11:32:13,220.0
dsp_6yrcw2l4kaa7,pay_aul2npozbba6hs,subscription_cancelled,2026-04-30 19:45:42,493.0
dsp_k44g7yy2u4ev,pay_v45llaci4f5ln8,fraud,2026-04-30 23:07:39,207.0
dsp_z30zef3ls1lr,pay_g80074onoffswm,not_received,2026-05-02 02:44:44,370.0
dsp_xdgpa5yhooso,pay_rjwye5ntsf0q7r,not_as_described,2026-05-02 07:21:02,1577.42
dsp_rlte6qcynebh,pay_03goj9d5cb4cje,fraud,2026-05-02 09:59:20,39534.43
dsp_35ojxxwjvoqe,pay_8l2vb0eu3xr8o2,subscription_cancelled,2026-05-02 20:09:25,470.0
dsp_gafel71xetid,pay_2pzg31yhdfpmjk,not_received,2026-05-03 06:40:02,11099.17
dsp_cn8o7vyvubqy,pay_haesivazpm5rmh,duplicate,2026-05-03 08:50:47,6890.37
dsp_zggsf9z6br8c,pay_rjp1p9q1oib1x5,fraud,2026-05-03 14:24:54,4743.19
dsp_tkf712lw8tfk,pay_ehuz3ojn2wyxss,fraud,2026-05-03 15:33:28,26623.09
dsp_nyjkaeavoxic,pay_epj8dvd1tvm8uw,not_received,2026-05-04 00:50:38,1188.64
dsp_tj3ddyddzd2q,pay_hhw6m9vat6nc1c,fraud,2026-05-04 03:06:56,12428.47
dsp_fd198p2ttjkk,pay_5z3jhgcr74jmrr,not_as_described,2026-05-04 21:06:07,4121.14
dsp_5htdy5l0h9cc,pay_0nsxyltg74jiar,not_received,2026-05-04 21:29:49,222.38
dsp_h5bhixyh557i,pay_h4irakqowsgudc,subscription_cancelled,2026-05-05 03:08:40,1407.0
dsp_f7uqpyavm93a,pay_v9zq565y1uvmcn,fraud,2026-05-05 06:45:28,1884.0
dsp_so6uh0mgwpzt,pay_s7g6qx6709ua3y,not_received,2026-05-05 17:17:43,7740.74
dsp_xetvo9wfjeqc,pay_nk08izztut0mrm,not_as_described,2026-05-05 19:37:20,2253.29
dsp_115zrjzf40or,pay_aytr42tb6z299y,not_as_described,2026-05-06 11:25:04,1324.97
dsp_b3fzt8y6pm9w,pay_lbxud1peulst7n,fraud,2026-05-06 20:34:34,3185.18
dsp_i9km8q2ox09s,pay_nwukei1j7b8of3,not_received,2026-05-06 23:37:01,12780.46
dsp_irft2z266trn,pay_nx3naxgtcd89oe,duplicate,2026-05-07 04:43:34,11356.65
dsp_h9wz9653j43k,pay_006n3ypwkdmg7a,fraud,,96.0
dsp_r6dfdhsx6dd3,pay_ytvs61yurer0uu,not_received,2026-05-07 18:59:54,12502.48
dsp_5k9pvq1lxl1r,pay_chjui3usr6iig8,not_as_described,2026-05-08 03:33:07,806.08
dsp_zjlurtxtcbe5,pay_v9ij1gtdb77yd9,not_received,2026-05-09 00:31:15,457.58
dsp_0f1xlw6hy5gn,pay_liodbfqhtkttqy,fraud,2026-05-09 00:42:13,279.0
dsp_ot3cyx0ck3d8,pay_ax4y06tvlus5o0,subscription_cancelled,2026-05-09 04:39:11,603.0
dsp_iejud1ntyvfv,pay_mzg881uctwl3dt,not_as_described,2026-05-09 04:40:59,5438.18
dsp_kxk5mmd0mive,pay_dmoykvbqnnk5wy,not_as_described,2026-05-09 08:26:11,2160.0
dsp_83592061lxby,pay_zld1zpbymifcqj,not_as_described,2026-05-09 16:52:09,1640.0
dsp_cbin6kh3ss7d,pay_9uperc3yr8wq2n,not_as_described,2026-05-09 21:39:49,803.48
dsp_1ays0ktcj1j0,pay_on621l97eji4ke,not_received,2026-05-10 09:22:30,1238.23
dsp_wpsq0xfz6bcl,pay_bp21vutqddvtou,not_as_described,2026-05-10 15:08:56,684.16
dsp_ir0ff5j00xr2,pay_2gkle6j220ozpq,not_received,2026-05-10 22:01:50,207.0
dsp_qa1gxoj2ribj,pay_p3spq4jys2bb2f,subscription_cancelled,2026-05-11 04:15:07,3554.48
dsp_ampq11q4j33f,pay_4gbi7l4v1nwk1v,not_received,2026-05-11 07:27:46,1312.81
dsp_nhm4wlh3ve6u,pay_dpjkdwuvvy0plp,fraud,2026-05-11 15:12:45,777.24
dsp_jqyzeb3keicq,pay_k8ufc67gh6vcdh,not_received,2026-05-11 22:18:52,4014.12
dsp_ossayp2exrxm,pay_zc62aapzi1acl0,fraud,2026-05-12 10:21:23,1120.0
dsp_2av8mrq2nxti,pay_0521rniq31yjn7,not_received,2026-05-12 12:10:37,935.17
dsp_5qtrre7c11ez,pay_cf2a4qtg6vpnpn,duplicate,,5967.84
dsp_wujs78ndo6te,pay_2xvehu6fmyxhvn,not_received,2026-05-12 18:44:22,8690.32
dsp_1uqnude7wwuq,pay_c7pdtryvt4t7f3,not_received,2026-05-13 00:08:04,3722.4
dsp_i97ve11vkbmw,pay_kkrypxhgjx84tz,not_received,2026-05-13 06:09:21,2831.77
dsp_g5ne6lajssh4,pay_x4j6mv52bs305m,not_as_described,2026-05-13 12:52:29,10216.68
dsp_2m2ov47z7pre,pay_hqdnxqlluh4sef,fraud,2026-05-14 06:28:49,387.0
dsp_50uoqfwav7fv,pay_v23ep63bg5a6z4,not_received,2026-05-14 23:28:29,23012.43
dsp_8zsg3cor3yj4,pay_jsgy37ddbpf1fs,not_received,2026-05-15 15:34:45,7793.86
dsp_l59b3h18qmwr,pay_x6k9hlwzzi9wxj,duplicate,2026-05-15 17:04:21,5442.21
dsp_xtbcwn7rp5zi,pay_j2x3gxwva693qg,fraud,2026-05-15 17:14:13,225.0
dsp_7pap0cjz4okw,pay_bcad7esnnczdij,not_as_described,2026-05-15 19:03:59,5020.68
dsp_ademedvbmkt0,pay_12boykpcfi4riw,duplicate,2026-05-15 22:20:24,79.79
dsp_n4u55gkz2wp0,pay_fxt22b9ipj9kbb,duplicate,2026-05-15 22:47:37,4022.44
dsp_bg3iotd733tw,pay_wg0v4rzpihf4tj,fraud,2026-05-16 10:19:03,992.36
dsp_sws4vm5ylcbc,pay_w6t9585yh9g5lv,not_received,2026-05-16 11:43:36,5151.66
dsp_hk8m1nqzzzw9,pay_lg2a1kxv1aptxx,not_received,2026-05-16 16:06:58,15014.89
dsp_j24lerjo928l,pay_kdhz4938h9yfhu,not_received,2026-05-17 15:07:52,2873.66
dsp_6gzzu1c9gks9,pay_w9w7fw5gioii3h,fraud,2026-05-17 19:05:54,1675.0
dsp_rl20kbqv1ymc,pay_45k2p1fepqejjz,subscription_cancelled,2026-05-18 05:06:48,9390.09
dsp_0grqqjl4nkx2,pay_67q0lh5rr7pjge,not_as_described,2026-05-18 07:49:50,870.05
dsp_jdxnlmzdjefp,pay_gz9iepi7v1trjw,not_received,2026-05-18 12:17:00,4624.39
dsp_az6bm1wlzl9k,pay_ic9xjwp0mot5oq,not_received,2026-05-19 00:38:40,1937.0
dsp_phwwbnrqjy1c,pay_oyp56tmko9lm6z,not_received,,253.0
dsp_tabk3h48l3x9,pay_h2a5qzjlkg44wr,not_as_described,2026-05-20 14:20:19,1530.0
dsp_k93prqsqt4ep,pay_e1vgvvuexgoir5,not_as_described,2026-05-20 23:28:55,1225.33
dsp_ve1mp7rvtytw,pay_tx0t3cd40r2wki,not_received,2026-05-21 08:10:01,3333.2
dsp_18varn6zccoe,pay_e9w36kcdebzcaa,not_as_described,2026-05-22 03:46:09,3352.65
dsp_7h8hx4pqte3l,pay_xtrajuz93c6miy,not_received,2026-05-22 12:08:45,8225.16
dsp_7pb11apthcb5,pay_kwa32wp07zfxp6,not_received,2026-05-22 13:00:49,75207.35
dsp_oq8mggrxvzef,pay_5p61j9e4zrj64e,not_as_described,2026-05-22 17:22:48,2376.91
dsp_hyd4w2nxwz44,pay_wv84qomvkcvdsa,not_received,2026-05-22 17:33:17,5587.05
dsp_pvxi01b28qht,pay_d3b9i848946em0,not_received,2026-05-22 20:41:12,640.0
dsp_ij5xfaefozyb,pay_yhhhdar0xmzso5,fraud,2026-05-23 07:58:55,1025.0
dsp_74wi6u1997m9,pay_e0va0zu8eyzqn4,not_as_described,2026-05-23 17:28:46,223.1
dsp_gi65bii27ey9,pay_qo0e3vmjeuj4io,not_as_described,2026-05-24 02:27:46,2500.58
dsp_4os7ncn7jy7f,pay_dyawaumtmmvihg,not_as_described,2026-05-24 13:09:21,400.0
dsp_8hggm9d79gtq,pay_gbxbzedteppxgg,not_received,2026-05-25 02:11:06,9227.42
dsp_swkzpwtphpwg,pay_x2r331fvw3v63z,not_received,2026-05-25 08:51:17,16673.63
dsp_ft7gr4k8pnd6,pay_0ydd73ty8nclst,fraud,2026-05-25 14:37:38,3257.12
dsp_5ewicncq9zn2,pay_hxctrp5l7kxxqd,not_received,2026-05-27 03:32:36,4360.05
dsp_nmad4epsq2fv,pay_h2rzc3row21ov2,subscription_cancelled,2026-05-27 14:07:32,1106.0
dsp_y7n74cmjp4zt,pay_xbk5wu1fbh0ivb,duplicate,2026-05-27 18:13:37,533.23
dsp_lsrb8g1pedpx,pay_dtdosjgzu7muoa,fraud,2026-05-27 23:49:59,13166.46
dsp_18xyjiery4at,pay_ua373y83gkpnya,not_as_described,2026-05-28 06:08:09,1400.72
dsp_e8fiwq8m1foy,pay_5azjd6u66vczs5,fraud,2026-05-28 18:39:33,5059.06
dsp_vhhq1oxxue1u,pay_7yptohhlvnzpp0,not_received,2026-05-29 12:09:45,13701.02
dsp_utgruehpxyus,pay_29gr2t13m2axcj,not_received,2026-05-29 17:02:18,7605.86
dsp_lcf1fjnjz11s,pay_pg86nai07p56g3,not_as_described,2026-05-29 21:32:49,1443.8
dsp_1sf60dlyq2zf,pay_g899ud3fj7i032,duplicate,2026-05-30 04:40:47,32077.09
dsp_tmy3dwrtny08,pay_416a2mzr6h8po9,fraud,2026-05-30 16:34:38,18540.59
dsp_2quszck9bszp,pay_dsmenw1r45re66,fraud,2026-05-30 18:41:00,108.0
