payment_id,merchant_id,customer_id,amount,method,issuer_bank,card_bin_country,created_at,ip_state,device_id,is_first_txn_for_device,checkout_latency_ms,retry_count,auth_status,exclude_from_modelling,retry_count_raw
pay_42oig9hrrug0up,merch_002,cust_015015,433.28,upi,,,2026-01-01 06:13:55,TN,dev_frv8vwr8i561,True,1733,0,success,0,0
pay_ticoavokdwk7z3,merch_048,cust_005408,5313.77,card,Axis Bank,IN,2026-01-01 06:22:04,KL,dev_maiimgldk4rw,True,1696,0,success,0,0
pay_inqjab5ie2spmj,merch_034,cust_007287,10221.07,emi,State Bank of India,,2026-01-01 06:23:48,PY,dev_fv7frkjbmu6p,True,14947,0,success,0,0
pay_ki8woe3zkarw0n,merch_029,cust_018371,583.0,upi,,,2026-01-01 06:53:12,KA,dev_p1plyrrrbdqv,True,1207,0,success,0,0
pay_mfruvybdnuf1pw,merch_010,cust_015038,786.4,upi,,,2026-01-01 07:32:30,KA,dev_qr0969c07ybo,True,1032,1,success,0,1
pay_4l1z4fg3ktqn8q,merch_010,cust_012972,1226.33,card,State Bank of India,IN,2026-01-01 07:38:10,UP,dev_unxgb805n8zx,True,2351,0,success,0,0
pay_3te49bs2hiaetb,merch_009,cust_012763,1464.08,wallet,,,2026-01-01 07:40:51,KA,dev_mwcegotuq9jc,True,923,0,success,0,0
pay_oevebhac0y1hot,merch_015,cust_013098,232.0,upi,,,2026-01-01 07:50:53,AP,dev_fxbyzus2ssxu,True,1589,0,success,0,0
pay_mttftsuxk580ki,merch_026,cust_018190,211.0,card,HDFC Bank,GB,2026-01-01 07:51:26,DL,dev_ybuo2ngf4v8d,True,7474,0,success,0,0
pay_b5dd0jpbe03ifl,merch_026,cust_012834,211.0,upi,,,2026-01-01 07:55:19,KL,dev_5ctce4zcrsc3,True,3432,0,success,0,0
pay_ab88a68yw7pvcn,merch_030,cust_027879,586.0,card,ICICI Bank,IN,2026-01-01 08:09:59,KA,dev_6i1rwv2jpylv,True,4252,0,success,0,0
pay_s9wg75bih98etm,merch_002,cust_016767,2081.36,card,Axis Bank,IN,2026-01-01 08:10:46,RJ,dev_vut9vln8hzug,True,2130,1,success,0,1
pay_775h59isbk2p84,merch_008,cust_026287,1777.9,upi,,,2026-01-01 08:23:43,WB,dev_3hhztwyzwh9a,True,2215,0,success,0,0
pay_lzaie0nk27f8tp,merch_020,cust_032470,83.0,wallet,,,2026-01-01 08:42:09,RJ,dev_sytxt938oy5a,True,970,0,success,0,0
pay_nphl2u283ep9u8,merch_054,cust_008293,340.0,netbanking,ICICI Bank,,2026-01-01 08:44:46,TG,dev_xkpego4osw03,True,4130,0,success,0,0
pay_zmwg81sawlt0bz,merch_034,cust_017141,5191.7,card,Kotak Mahindra Bank,IN,2026-01-01 08:50:37,KA,dev_odtn1io4uceo,True,3325,0,success,0,0
pay_0e6fcmf0omzvhm,merch_051,cust_032484,1260.0,upi,,,2026-01-01 08:51:23,DL,dev_uwcmcyt8696y,True,2090,0,success,0,0
pay_ix9qxv58hxnukp,merch_015,cust_002524,232.0,upi,,,2026-01-01 08:54:32,UP,dev_1u8gbhjlql09,True,913,1,success,0,1
pay_4vx9k44tl99yig,merch_011,cust_023201,260.0,card,HDFC Bank,IN,2026-01-01 08:56:28,AP,dev_trdog143r9fo,True,988,0,success,0,0
pay_hy2s2qwuh2rjzy,merch_003,cust_006024,3856.69,card,Punjab National Bank,IN,2026-01-01 09:00:24,DL,dev_rid7avpw49je,True,7377,0,success,0,0
pay_cclzqvcxfvbid0,merch_014,cust_026655,465.0,card,HDFC Bank,IN,2026-01-01 09:05:31,MH,dev_92te58m37wuh,True,4970,0,success,0,0
pay_v5e6q5o1rxnyro,merch_008,cust_024548,1288.98,upi,,,2026-01-01 09:08:49,AS,dev_892icbs00c8k,True,4814,0,success,0,0
pay_zjbr1zulfbznhq,merch_045,cust_032297,1438.55,netbanking,State Bank of India,,2026-01-01 09:09:55,HR,dev_0tosapyqv83n,True,2995,0,success,0,0
pay_qyfugujdsrd42h,merch_053,cust_021327,520.0,card,Axis Bank,IN,2026-01-01 09:15:30,TN,dev_q9qdg9oxhnqx,True,8545,1,success,0,1
pay_perho56f2o8wb7,merch_017,cust_031113,93.0,card,ICICI Bank,IN,2026-01-01 09:16:02,MH,dev_dl1xveauje21,True,3207,0,success,0,0
pay_i7izu5gep4l3l3,merch_017,cust_011774,1884.0,card,Union Bank of India,IN,2026-01-01 09:21:18,RJ,dev_g35p6ef3uf3t,True,3476,0,success,0,0
pay_xc37y0fkyddcfk,merch_030,cust_013572,263.0,wallet,,,2026-01-01 09:25:26,MH,dev_c4gk1fafs7ts,True,3731,0,success,0,0
pay_xph7hir8zyviui,merch_053,cust_034564,370.0,netbanking,Union Bank of India,,2026-01-01 09:34:10,AP,dev_dvdi6pked2px,True,12388,0,success,0,0
pay_yp4ij7t8k9wgbr,merch_040,cust_010448,12198.91,emi,Union Bank of India,,2026-01-01 09:41:58,AP,dev_tyb3opd0nox6,True,4272,0,success,0,0
pay_o7ktdu5itijegw,merch_008,cust_008439,953.06,upi,,,2026-01-01 09:49:30,MH,dev_8ae30d7uprox,True,1262,1,success,0,1
pay_fnt16my66rymgk,merch_027,cust_013252,603.0,upi,,,2026-01-01 09:50:05,MH,dev_g3diwxoxb0fd,True,585,0,success,0,0
pay_2ojm2ywcuguigx,merch_016,cust_002829,159.0,wallet,,,2026-01-01 10:04:02,GJ,dev_1sxlnwbv26ak,True,1481,0,success,0,0
pay_g1r6y1vh9d4pox,merch_010,cust_012725,4711.09,upi,,,2026-01-01 10:04:44,KA,dev_ucnr2hcycl7w,True,723,0,success,0,0
pay_6ku4259eeyc62g,merch_054,cust_017463,270.0,upi,,,2026-01-01 10:09:25,MH,dev_94qbuuw77qs1,True,674,0,success,0,0
pay_3xwmbzeny0aoe0,merch_003,cust_006508,2258.02,upi,,,2026-01-01 10:13:11,MH,dev_30ot89gfe6p1,True,1996,0,success,0,0
pay_ai24qmbovdfrp2,merch_015,cust_007396,232.0,wallet,,,2026-01-01 10:15:18,KA,dev_4ze00zsfdl11,True,1030,0,success,0,0
pay_s5ds7vjjcylelb,merch_002,cust_012617,1560.08,upi,,,2026-01-01 10:17:45,UP,dev_dkudmh5fwbdf,True,2223,0,success,0,0
pay_2mzru4hvqbeh5d,merch_019,cust_028337,956.0,wallet,,,2026-01-01 10:18:32,UP,dev_6880qmo85yhz,True,1884,0,success,0,0
pay_hh2tucm66j2m0f,merch_007,cust_013523,1478.0,upi,,,2026-01-01 10:30:34,MH,dev_96kq1cnxall3,True,2553,0,success,0,0
pay_uek2darybxsjb4,merch_028,cust_030400,575.0,upi,,,2026-01-01 10:33:49,AP,dev_j7dic4bvihxs,True,4310,0,success,0,0
pay_tbkcav1e4t0md3,merch_034,cust_010955,33861.19,emi,ICICI Bank,,2026-01-01 10:35:58,BR,dev_jbtkmw8zpxba,True,6039,1,success,0,1
pay_3ln3y1p50zruu7,merch_008,cust_001424,506.12,card,Yes Bank,IN,2026-01-01 10:36:15,MH,dev_cyjr85j47uym,True,4612,0,success,0,0
pay_0m2p8dxfpbltz3,merch_036,cust_028513,29502.35,emi,Federal Bank,,2026-01-01 10:36:44,AP,dev_zlqf17hiryno,True,5558,2,success,0,2
pay_o6dnne77dktr32,merch_016,cust_022153,66.0,card,Federal Bank,IN,2026-01-01 10:37:10,UP,dev_xb7o2pu52yw3,True,8169,2,success,0,2
pay_b5h15e5ivesdrm,merch_005,cust_034604,543.04,card,Bank of Baroda,IN,2026-01-01 10:42:54,AP,dev_8ajxzx40omr0,True,3341,0,success,0,0
pay_tnnb3uyk3liohq,merch_059,cust_021519,1910.0,wallet,,,2026-01-01 10:45:08,GJ,dev_myhullfsxjul,True,1498,0,success,0,0
pay_dwf91fjrdotw7v,merch_040,cust_031229,7879.19,netbanking,Yes Bank,,2026-01-01 10:49:05,DL,dev_z5or9g2jhi48,True,3424,0,success,0,0
pay_5acwa2y1mx2dkc,merch_008,cust_022464,1213.78,upi,,,2026-01-01 10:50:02,RJ,dev_4ichsyh908mk,True,843,0,success,0,0
pay_xuy7qsmhc9yp0l,merch_019,cust_002140,434.0,wallet,,,2026-01-01 10:57:51,DL,dev_rxbxhr1kq7ew,True,1290,0,success,0,0
pay_pciuqre9i53emz,merch_030,cust_014601,263.0,card,Federal Bank,IN,2026-01-01 11:02:39,WB,dev_y7p1o17eo73n,True,2793,2,success,0,2
pay_bclexnemcgphto,merch_032,cust_000392,8091.8,netbanking,Yes Bank,,2026-01-01 11:03:08,HR,dev_0ehq18i2daww,True,6270,0,success,0,0
pay_vuqsj0ioh9kyj6,merch_033,cust_011904,9815.95,netbanking,Axis Bank,,2026-01-01 11:09:00,TN,dev_71bx7wo11acv,True,7643,0,success,0,0
pay_5coozr7g1bahgz,merch_020,cust_017452,737.0,upi,,,2026-01-01 11:13:43,UP,dev_uxtxi9mnjlwx,True,3145,0,success,0,0
pay_rwfcx6ehnn80pf,merch_033,cust_004105,6082.29,netbanking,Canara Bank,,2026-01-01 11:24:30,TG,dev_8ti74ou68n6g,True,7177,2,success,0,2
pay_rb4v9ixe3pqik9,merch_015,cust_028281,232.0,upi,,,2026-01-01 11:25:16,CH,dev_kewi0jc3zn6v,True,672,0,success,0,0
pay_jzpd9sih6i1krb,merch_022,cust_019525,429.0,upi,,,2026-01-01 11:25:33,DL,dev_xswmf9aexd5w,True,2934,0,success,0,0
pay_yln7duxlp9b4wk,merch_030,cust_031530,586.0,card,Axis Bank,IN,2026-01-01 11:26:35,TN,dev_58cozos46cys,True,5306,0,success,0,0
pay_nn0j0jqaols6u6,merch_041,cust_002591,5150.88,card,Yes Bank,IN,2026-01-01 11:27:33,DL,dev_xsoayt7dmomu,True,8278,0,success,0,0
pay_ubg70g0cwucd6r,merch_014,cust_025637,116.0,card,ICICI Bank,IN,2026-01-01 11:33:28,KA,dev_4s5gx1hawi1e,True,3812,0,success,0,0
pay_43hdcavgqhm55z,merch_016,cust_009030,266.0,card,HDFC Bank,IN,2026-01-01 11:37:29,MH,dev_7xou61muj0g1,True,8866,0,success,0,0
pay_drr4b1wkyijp9b,merch_008,cust_006289,1416.08,card,State Bank of India,IN,2026-01-01 11:38:12,TN,dev_2wpu7bmmelvn,True,5439,0,success,0,0
pay_bj3q8efrngazml,merch_008,cust_032475,891.64,upi,,,2026-01-01 11:42:55,GJ,dev_opgvx2j7maj0,True,1152,0,success,0,0
pay_ynsjghwpi6bk1j,merch_003,cust_009431,559.98,upi,,,2026-01-01 11:43:29,UP,dev_8iptw4dawtrk,True,1538,0,success,0,0
pay_3fem5kqx586a53,merch_012,cust_021033,253.0,upi,,,2026-01-01 11:51:09,RJ,dev_ruj4aicub5ho,True,1548,0,success,0,0
pay_ij47nzv3un8qx0,merch_007,cust_010341,1292.02,upi,,,2026-01-01 11:51:22,TN,dev_ux2dho185hn7,True,1594,0,success,0,0
pay_nab9qdcjejlbev,merch_009,cust_000531,708.62,upi,,,2026-01-01 11:52:40,TN,dev_kaxqufcai91r,True,2660,1,success,0,1
pay_24cnko5frbre4j,merch_054,cust_004187,1270.0,card,ICICI Bank,IN,2026-01-01 11:55:09,TG,dev_7s475774rdb5,True,3165,1,success,0,1
pay_yac3ja8fy1kdks,merch_046,cust_033259,2194.08,card,Kotak Mahindra Bank,IN,2026-01-01 11:55:51,JK,dev_i7678cybvpxm,True,2726,1,success,0,1
pay_xzaza639o80fa5,merch_007,cust_027788,779.98,upi,,,2026-01-01 11:57:01,GJ,dev_ck1d0cah7ay6,True,1185,0,success,0,0
pay_hi83cvqc62g0i6,merch_017,cust_032357,376.0,upi,,,2026-01-01 11:58:31,TG,dev_fmpcsw8oun2d,True,7978,0,success,0,0
pay_fp0g6o2v6e736z,merch_033,cust_005732,3562.38,upi,,,2026-01-01 12:02:11,GJ,dev_5uf8ra84rz99,True,4450,0,success,0,0
pay_w4nf049n690kg1,merch_005,cust_005112,653.01,upi,,,2026-01-01 12:03:39,MP,dev_7bs7u9x6za58,True,2504,0,success,0,0
pay_c94rivur5dkhum,merch_053,cust_016565,740.0,card,ICICI Bank,IN,2026-01-01 12:03:46,DL,dev_qmaxt1e4g5hu,True,3731,0,success,0,0
pay_ra2uboad56stgs,merch_034,cust_018059,15455.12,emi,Kotak Mahindra Bank,,2026-01-01 12:04:36,JH,dev_9g0d4ctnujui,True,8087,0,success,0,0
pay_fu8tlpj5phq3gt,merch_027,cust_028780,271.0,card,HDFC Bank,IN,2026-01-01 12:10:13,MH,dev_dp8bse5in60y,True,3263,0,success,0,0
pay_bw1fp9e0f63g4j,merch_005,cust_031208,731.25,upi,,,2026-01-01 12:22:29,WB,dev_gielfnig4wa2,True,1726,0,success,0,0
pay_t530anpgrju1md,merch_008,cust_017696,848.59,upi,,,2026-01-01 12:25:46,KA,dev_wxods25a76x8,True,6814,0,success,0,0
pay_mjuoj2ylprs2d7,merch_052,cust_016386,830.0,upi,,,2026-01-01 12:26:52,KA,dev_47ryfa1wo5is,True,1785,0,success,0,0
pay_79bkeocxoqf2te,merch_050,cust_032016,6582.07,emi,ICICI Bank,,2026-01-01 12:28:21,CG,dev_ey4up323lhgi,True,5439,1,success,0,1
pay_rt5uwbpv7c1qhq,merch_030,cust_026613,263.0,wallet,,,2026-01-01 12:33:39,KL,dev_vmv091vcs2a0,True,1826,2,success,0,2
pay_tqs9718v9ff6ry,merch_008,cust_027230,190.85,card,Bank of India,IN,2026-01-01 12:37:30,TG,dev_09arv0cl1x3w,True,3337,0,success,0,0
pay_mbdksa9tzfmiyi,merch_052,cust_031695,1130.0,upi,,,2026-01-01 12:37:34,DL,dev_4go4byx2vgiy,True,2894,1,success,0,1
pay_hy4djlp27xdxq4,merch_052,cust_022009,460.0,card,HDFC Bank,IN,2026-01-01 12:38:05,DL,dev_xcur3tf0fkrk,True,1174,1,success,0,1
pay_mju3u95db0ocoy,merch_050,cust_012970,1356.39,upi,,,2026-01-01 12:55:39,MP,dev_3blp9bjru3oh,True,2519,0,success,0,0
pay_yuq0pz5689h6lk,merch_052,cust_000085,270.0,upi,,,2026-01-01 12:59:04,TN,dev_9axgnei40ztq,True,1453,0,success,0,0
pay_wa9v3tqiupummg,merch_010,cust_005580,673.02,upi,,,2026-01-01 13:03:23,RJ,dev_ognw5ohpqnaf,True,926,0,success,0,0
pay_9wz1v01jmifeqd,merch_029,cust_026908,262.0,upi,,,2026-01-01 13:11:19,OD,dev_g73ftkqbn3dx,True,1001,0,success,0,0
pay_jhjj89g7nddxz3,merch_037,cust_011470,26137.78,netbanking,ICICI Bank,,2026-01-01 13:20:23,BR,dev_hmd47inrt7yy,True,3269,1,success,0,1
pay_4dsry0thkomfai,merch_002,cust_019687,496.82,card,HDFC Bank,IN,2026-01-01 13:24:36,RJ,dev_yba81lk6jj1i,True,2497,0,success,0,0
pay_r0yezcplef5r15,merch_010,cust_007144,2260.16,upi,,,2026-01-01 13:26:30,KA,dev_b3titldmm1iw,True,2621,0,success,0,0
pay_bq2tm5mt973099,merch_040,cust_025413,59123.88,emi,Bank of Baroda,,2026-01-01 13:29:21,MH,dev_tw37oyrx2mhz,True,5065,2,success,0,2
pay_0e4830yszd9djq,merch_024,cust_034383,223.0,upi,,,2026-01-01 13:31:46,DL,dev_zx71l864synw,True,1569,0,success,0,0
pay_fje103umveend2,merch_032,cust_006552,19335.62,emi,ICICI Bank,,2026-01-01 13:38:08,GJ,dev_qfm1gbaaildo,True,3497,0,success,0,0
pay_2ynhm868u07y81,merch_005,cust_031321,353.09,upi,,,2026-01-01 13:47:24,KA,dev_lo4d1suktvkb,True,2847,0,success,0,0
pay_kcw6ca2csp3mtu,merch_030,cust_017339,1407.0,upi,,,2026-01-01 13:55:47,DL,dev_3szibdsyv73q,True,1152,0,success,0,0
pay_adcrkgjfw9lq9k,merch_002,cust_015193,2219.58,upi,,,2026-01-01 14:04:27,DL,dev_3vlugmtdst3e,True,2705,0,success,0,0
pay_jpfo3x5b2r00wq,merch_040,cust_013711,20213.84,netbanking,HDFC Bank,,2026-01-01 14:06:24,TN,dev_y0hab9elbo2y,True,5087,0,success,0,0
pay_vgn0i3eyfieax9,merch_034,cust_019450,8708.69,netbanking,ICICI Bank,,2026-01-01 14:08:54,MH,dev_2jm6fmik5quj,True,5694,0,success,0,0
pay_caevcutjrs5j8n,merch_045,cust_001516,5245.12,netbanking,Bank of Baroda,,2026-01-01 14:10:05,TN,dev_4wv4dccu7xhl,True,3399,0,success,0,0
pay_p1q3h5cgb3mftq,merch_016,cust_005857,266.0,netbanking,ICICI Bank,,2026-01-01 14:17:47,KA,dev_qc6i68w306uw,True,4602,0,success,0,0
pay_2kpqhy61bsqxup,merch_008,cust_001793,1497.27,card,IDFC First Bank,IN,2026-01-01 14:20:23,KA,dev_waaytg41z4qs,True,2336,0,success,0,0
pay_y4j6e2y5k2eeha,merch_003,cust_027263,982.31,upi,,,2026-01-01 14:34:56,AP,dev_63fyxoboho45,True,2588,0,success,0,0
pay_vxqcgm7ke5doic,merch_016,cust_033357,159.0,card,Axis Bank,IN,2026-01-01 14:39:44,MZ,dev_wxuebajrpy47,True,4944,0,success,0,0
pay_hkz3ej0f6x5rx1,merch_004,cust_031078,2079.97,upi,,,2026-01-01 14:41:41,BR,dev_8cyckhdz3hf8,True,2530,0,success,0,0
pay_h2epc9blfg6wqp,merch_044,cust_028981,1210.53,upi,,,2026-01-01 14:42:13,AP,dev_kd8dk0pntc9e,True,5769,1,success,0,1
pay_52nzhb7t3o15yz,merch_011,cust_024966,434.0,card,HDFC Bank,IN,2026-01-01 15:01:34,HR,dev_mwleidwaa2yc,True,2531,1,success,0,1
pay_ysil8zo6g9zv16,merch_041,cust_030464,2719.6,card,Bank of Baroda,IN,2026-01-01 15:02:40,KL,dev_4e8jjfhzxkx4,True,4990,1,success,0,1
pay_w3loyg74y5s710,merch_009,cust_022713,1887.13,card,ICICI Bank,SG,2026-01-01 15:04:11,WB,dev_yu8fnt6yaeej,True,2713,0,success,0,0
pay_vqz3zvhjjdqxam,merch_008,cust_030831,2701.54,upi,,,2026-01-01 15:04:53,MH,dev_3gpci9zlzn53,True,1807,0,success,0,0
pay_kh3tjn14k99542,merch_010,cust_029510,1031.78,card,Bank of Baroda,IN,2026-01-01 15:05:59,BR,dev_nghd7bsy8mjn,True,7639,0,success,0,0
pay_khan3vescrc82f,merch_020,cust_020331,200.0,upi,,,2026-01-01 15:06:16,AN,dev_eah9sm90jmt0,True,1421,0,success,0,0
pay_d28ur45z6g9fxn,merch_015,cust_028087,232.0,wallet,,,2026-01-01 15:15:06,MH,dev_7eb8bwhatwzt,True,1181,0,success,0,0
pay_l8po44gnadn3dw,merch_053,cust_005161,840.0,upi,,,2026-01-01 15:20:04,JH,dev_nl52caxjoyjm,True,3024,0,success,0,0
pay_7eq77z7tbbet9z,merch_020,cust_005867,1675.0,card,IDFC First Bank,IN,2026-01-01 15:20:35,MH,dev_ubfj50mt6s1e,True,1863,0,success,0,0
pay_6fvkkqgve5cjtl,merch_026,cust_009456,211.0,card,Bank of Baroda,IN,2026-01-01 15:26:55,UP,dev_903xio0w7mpv,True,3996,0,success,0,0
pay_qf7cy4dpoe9f14,merch_016,cust_012238,66.0,wallet,,,2026-01-01 15:29:46,DL,dev_m9yd0had6a9d,True,1636,1,success,0,1
pay_m317nodqlpajz2,merch_030,cust_004213,263.0,card,Punjab National Bank,IN,2026-01-01 15:29:57,HR,dev_3lle409w5yhe,True,2011,1,success,0,1
pay_twfad9mqswia14,merch_011,cust_022620,108.0,card,IndusInd Bank,IN,2026-01-01 15:30:19,MH,dev_spu3756wmeu3,True,2502,0,success,0,0
pay_7my9nakwxp6gvl,merch_017,cust_024601,225.0,upi,,,2026-01-01 15:32:01,DL,dev_4u9dm22oubvd,True,1785,0,success,0,0
pay_4u5qt0iwhn6ulw,merch_016,cust_022032,266.0,card,HDFC Bank,IN,2026-01-01 15:32:59,GJ,dev_35hvsa6mx6xl,True,1479,0,success,0,0
pay_27f98cv0bxjys5,merch_008,cust_001863,507.74,upi,,,2026-01-01 15:38:36,TN,dev_mcekj99lwerc,True,1680,0,success,0,0
pay_q21e2l6swok4c8,merch_049,cust_027446,4844.35,card,State Bank of India,IN,2026-01-01 15:39:00,UP,dev_xfwoqoqz2qy4,True,7551,0,success,0,0
pay_i0t5ovaodx6b87,merch_053,cust_023671,810.0,upi,,,2026-01-01 15:47:43,MH,dev_zyil4ynrka86,True,1551,0,success,0,0
pay_d793muob1minem,merch_019,cust_030819,260.0,netbanking,Axis Bank,,2026-01-01 15:54:20,GJ,dev_ods6qanetnqh,True,6061,0,success,0,0
pay_5llv680q7kveoj,merch_011,cust_026166,434.0,card,HDFC Bank,IN,2026-01-01 16:04:27,DL,dev_2s17uy09fstc,True,2529,0,success,0,0
pay_7a502bn5mfb8ep,merch_003,cust_006514,1962.83,upi,,,2026-01-01 16:08:06,RJ,dev_hoz00g4w5dyl,True,2245,0,success,0,0
pay_pd73io7zwkaa4c,merch_005,cust_011640,771.1,upi,,,2026-01-01 16:08:47,KA,dev_lw06w2fofj4m,True,5560,0,success,0,0
pay_utb94ey9sfytt9,merch_010,cust_027339,1801.35,card,State Bank of India,IN,2026-01-01 16:12:17,BR,dev_oiwqmr977wmw,True,4382,0,success,0,0
pay_sl3hzazkomrr6i,merch_048,cust_028420,7606.67,netbanking,ICICI Bank,,2026-01-01 16:19:22,KA,dev_gu16h076nk6r,True,1524,0,success,0,0
pay_b4jnrnxyu47klq,merch_012,cust_031328,2113.0,netbanking,Kotak Mahindra Bank,,2026-01-01 16:25:05,DL,dev_i62erqm3v4xc,True,6868,1,success,0,1
pay_l1l2jad15953kp,merch_037,cust_018526,19460.54,netbanking,ICICI Bank,,2026-01-01 16:27:56,UP,dev_ypjyy8v5ay03,True,2901,0,success,0,0
pay_pe7uk909k5qjjl,merch_004,cust_021202,915.4,upi,,,2026-01-01 16:33:16,DL,dev_k49xgcpje7px,True,986,0,success,0,0
pay_jzrs66bytdnfoc,merch_005,cust_028003,366.71,card,Kotak Mahindra Bank,IN,2026-01-01 16:35:07,GJ,dev_j2zlz3h1ez4b,True,1949,0,success,0,0
pay_czbkszv395gwui,merch_020,cust_029881,334.0,wallet,,,2026-01-01 16:37:46,MP,dev_0txl6bzvdr0h,True,3286,1,success,0,1
pay_hqcg1zisxvs7v5,merch_027,cust_007701,603.0,card,Yes Bank,IN,2026-01-01 16:40:22,MH,dev_bwpfbi7qswzn,True,2168,1,success,0,1
pay_xl0vhr8vvaq19h,merch_026,cust_017723,211.0,card,HDFC Bank,IN,2026-01-01 16:41:15,TG,dev_8br64dcnp9jd,True,5786,1,success,0,1
pay_dzq5jnoxp7ig1r,merch_030,cust_002209,1407.0,upi,,,2026-01-01 16:42:45,GA,dev_qkp07wo0cgks,True,1613,0,success,0,0
pay_cyra4mkt5ofd26,merch_008,cust_009576,1035.67,upi,,,2026-01-01 16:43:43,TN,dev_be8q8npfp3hd,True,3498,0,success,0,0
pay_n3o3p6nsh3fcgv,merch_002,cust_004151,1771.88,upi,,,2026-01-01 16:43:55,MH,dev_lz3o60vp13ux,True,1882,0,success,0,0
pay_w5ez521b2xeehb,merch_015,cust_013856,387.0,upi,,,2026-01-01 16:44:36,GJ,dev_agq5c7zqqo20,True,1516,0,success,0,0
pay_fbfsovxg3erxqq,merch_026,cust_006666,470.0,upi,,,2026-01-01 16:53:31,MH,dev_mvj5x191c5it,True,4077,0,success,0,0
pay_yk5ej3vr5bqdso,merch_003,cust_033613,1712.34,upi,,,2026-01-01 16:53:49,UP,dev_p6upavbo7kmi,True,2308,0,success,0,0
pay_pcskbofspmeh4r,merch_033,cust_001491,18432.38,netbanking,ICICI Bank,,2026-01-01 16:58:48,UP,dev_ptcn74o60j98,True,12490,0,success,0,0
pay_gd79ql0fhom8nz,merch_030,cust_006642,586.0,upi,,,2026-01-01 17:00:55,AS,dev_idaadzw9wr9p,True,2804,0,success,0,0
pay_pss2wniwp5y9m6,merch_027,cust_002036,271.0,card,ICICI Bank,IN,2026-01-01 17:06:19,TN,dev_o5coaarwm1fk,True,4864,0,success,0,0
pay_xj1ghwa5eee2dl,merch_007,cust_024252,617.39,card,Kotak Mahindra Bank,US,2026-01-01 17:13:37,AP,dev_v6vy8ey8w53r,True,2969,0,success,0,0
pay_35w8x9i1vsyuww,merch_045,cust_006073,2477.47,upi,,,2026-01-01 17:15:04,TG,dev_4uu40zewuclu,True,2419,0,success,0,0
pay_hyjgv01e54vyox,merch_028,cust_030295,258.0,card,State Bank of India,IN,2026-01-01 17:16:55,TN,dev_luc61f6oml6u,True,2181,0,success,0,0
pay_qyrbsjado5d3it,merch_040,cust_007046,10159.17,netbanking,Canara Bank,,2026-01-01 17:24:03,TN,dev_l6iz81vjsgqp,True,3089,0,success,0,0
pay_p4nb0ami5uiqap,merch_045,cust_003595,3063.24,upi,,,2026-01-01 17:24:15,KA,dev_qty2yweww0vq,True,2842,0,success,0,0
pay_lxu06cf8blelbu,merch_030,cust_019884,263.0,card,HDFC Bank,IN,2026-01-01 17:26:51,MH,dev_8sx3aaqc8v28,True,3202,0,success,0,0
pay_lwy47nnrsytqce,merch_021,cust_028003,221.0,wallet,,,2026-01-01 17:28:42,MH,dev_8zovmglrxkq6,True,3414,0,success,0,0
pay_noxpdt95r6ud2g,merch_039,cust_034089,5303.3,netbanking,Axis Bank,,2026-01-01 17:30:09,KL,dev_ixx757kg0gwb,True,5803,0,success,0,0
