payment_id,shipped_at,delivered_at,delivery_status,tracking_available,address_completeness_score,delivered_ts_missing,timestamps_untrusted
pay_adcrkgjfw9lq9k,2026-01-01 20:29:36,2026-01-03 18:04:31,delivered,True,0.87,0,0
pay_lub99tq9eiphuq,2026-01-01 21:23:24,2026-01-06 21:42:07,delivered,True,0.46,0,0
pay_rwfcx6ehnn80pf,2026-01-01 21:52:06,2026-01-03 19:15:49,delivered,True,0.78,0,0
pay_xzaza639o80fa5,2026-01-01 22:03:33,2026-01-04 07:22:25,delivered,True,0.84,0,0
pay_noxpdt95r6ud2g,,,delivered,True,0.76,0,1
pay_pu5626nnsabbnx,2026-01-01 22:11:00,2026-01-05 13:40:10,delivered,True,0.96,0,0
pay_k2ucau169wn3e6,2026-01-01 22:28:54,2026-01-03 21:54:10,lost,False,0.86,0,0
pay_bw1fp9e0f63g4j,2026-01-01 22:29:08,2026-01-05 18:27:04,delivered,True,0.85,0,0
pay_sj05z7ezh2jfmh,2026-01-01 22:30:41,2026-01-06 17:23:35,returned,True,0.39,0,0
pay_hy4djlp27xdxq4,,,delivered,True,0.64,0,1
pay_s2025goqm0kiox,2026-01-01 22:49:32,2026-01-04 14:02:38,delivered,True,0.66,0,0
pay_7a502bn5mfb8ep,2026-01-01 22:53:55,2026-01-18 21:33:15,returned,True,0.52,0,0
pay_qyfugujdsrd42h,2026-01-01 23:17:12,2026-01-03 19:52:32,delivered,False,0.64,0,0
pay_w4nf049n690kg1,2026-01-01 23:38:34,2026-01-07 06:54:23,delivered,True,0.91,0,0
pay_ti56gkom88h9xy,2026-01-01 23:43:53,2026-01-31 04:11:13,lost,False,0.7,0,0
pay_v5e6q5o1rxnyro,2026-01-01 23:55:18,2026-01-04 01:38:26,delivered,True,0.91,0,0
pay_yk5ej3vr5bqdso,2026-01-02 00:03:17,2026-01-09 18:59:50,delivered,True,0.67,0,0
pay_l8po44gnadn3dw,2026-01-02 00:06:23,2026-01-05 00:36:00,delivered,True,0.75,0,0
pay_nab9qdcjejlbev,2026-01-02 00:09:44,2026-01-04 19:06:21,delivered,True,0.65,0,0
pay_t4ius4h9yvn9qu,2026-01-02 00:35:09,2026-01-04 07:59:01,delivered,True,0.57,0,0
pay_s9wg75bih98etm,2026-01-02 00:36:56,2026-01-04 02:33:31,delivered,True,0.55,0,0
pay_n3o3p6nsh3fcgv,2026-01-02 00:42:51,2026-01-06 09:44:17,delivered,True,0.75,0,0
pay_qpkga43anp86hc,2026-01-02 00:48:22,2026-01-04 02:26:39,delivered,True,0.69,0,0
pay_swp7c8ucf8sk5f,2026-01-02 00:49:02,2026-01-08 07:48:15,delivered,True,0.96,0,0
pay_lbu56spg7mgntl,2026-01-02 00:58:05,2026-01-03 05:24:30,delivered,True,0.64,0,0
pay_pcskbofspmeh4r,2026-01-02 01:25:35,2026-01-04 01:41:39,delivered,True,0.77,0,0
pay_8c05nliqfw2wpy,2026-01-02 01:26:17,2026-01-06 13:42:12,delivered,True,0.65,0,0
pay_pcy4fhcmw5g83f,2026-01-02 01:38:39,2026-02-12 23:00:40,returned,True,0.3,0,0
pay_o7ktdu5itijegw,2026-01-02 01:47:01,2026-01-06 06:23:01,lost,True,0.73,0,0
pay_xmkg39tp3l2l7y,2026-01-02 01:54:13,2026-01-05 05:36:46,delivered,False,0.82,0,0
pay_zbu08xnpein4ui,2026-01-02 01:54:56,,in_transit,True,0.67,0,0
pay_vgn0i3eyfieax9,2026-01-02 02:10:29,2026-01-08 17:44:18,delivered,True,0.86,0,0
pay_l1l2jad15953kp,2026-01-02 02:13:40,2026-01-03 14:05:17,delivered,True,0.74,0,0
pay_hj2r0slo6drdey,2026-01-02 02:22:28,2026-01-03 14:36:14,delivered,True,0.65,0,0
pay_mbdksa9tzfmiyi,2026-01-02 02:28:06,2026-01-04 22:58:45,delivered,True,0.46,0,0
pay_pe7uk909k5qjjl,2026-01-02 02:37:53,2026-01-05 06:26:18,delivered,True,0.67,0,0
pay_06j2gfev396v2a,2026-01-02 02:53:13,2026-01-06 20:54:52,delivered,True,0.77,0,0
pay_smethepewbinu6,2026-01-02 02:56:38,2026-01-09 17:30:58,delivered,True,0.31,0,0
pay_o5akwt7s5ybe1d,2026-01-02 02:57:31,2026-01-03 17:32:20,delivered,True,0.83,0,0
pay_hkz3ej0f6x5rx1,2026-01-02 03:06:22,2026-01-05 12:15:10,delivered,True,0.75,0,0
pay_ek4p3cd80474d7,2026-01-02 03:08:15,2026-01-03 16:16:59,delivered,True,0.64,0,0
pay_zmwg81sawlt0bz,2026-01-02 03:11:05,2026-01-07 17:38:30,delivered,True,0.81,0,0
pay_4kn1qm4gsfm4ny,2026-01-02 03:32:09,2026-01-12 11:55:44,returned,True,0.3,0,0
pay_0m2p8dxfpbltz3,2026-01-02 03:45:29,2026-01-04 18:58:54,delivered,True,0.45,0,0
pay_xln7rt96ztxaas,2026-01-02 04:05:59,2026-01-03 13:54:47,delivered,True,0.71,0,0
pay_ee1t4o7dy494id,2026-01-02 04:10:29,2026-01-07 03:56:39,delivered,True,0.72,0,0
pay_xj1ghwa5eee2dl,2026-01-02 04:15:22,2026-01-06 21:30:21,delivered,True,0.59,0,0
pay_b5h15e5ivesdrm,2026-01-02 04:22:45,2026-01-07 09:05:43,delivered,True,0.65,0,0
pay_w3loyg74y5s710,2026-01-02 04:22:55,2026-01-05 17:17:25,delivered,True,0.76,0,0
pay_yumfj0jmndofnc,2026-01-02 04:35:45,2026-01-09 16:18:37,delivered,True,0.86,0,0
pay_fje103umveend2,2026-01-02 04:55:13,2026-01-08 01:11:21,delivered,True,0.29,0,0
pay_jzrs66bytdnfoc,2026-01-02 05:03:40,2026-01-04 05:11:53,delivered,True,0.54,0,0
pay_0qosu60ppmj1fz,2026-01-02 05:24:44,2026-01-06 19:32:38,delivered,True,0.78,0,0
pay_utb94ey9sfytt9,2026-01-02 05:27:35,2026-01-06 08:38:12,delivered,True,0.26,0,0
pay_lh3a9cwt3w208n,2026-01-02 05:28:41,2026-01-05 01:19:19,returned,True,0.59,0,0
pay_cyra4mkt5ofd26,2026-01-02 05:32:42,2026-01-04 08:29:46,delivered,True,0.79,0,0
pay_l5hdw2prr8jdf4,2026-01-02 05:50:50,2026-01-04 01:23:20,delivered,False,0.56,0,0
pay_erynoh8l55vhly,2026-01-02 06:18:12,2026-01-03 10:28:24,delivered,True,0.58,0,0
pay_lmkrp0y06uvq6u,2026-01-02 06:54:44,2026-01-03 22:29:37,delivered,True,0.61,0,0
pay_dwf91fjrdotw7v,2026-01-02 07:14:37,2026-01-04 02:30:07,delivered,True,0.8,0,0
pay_kh3tjn14k99542,2026-01-02 08:07:55,2026-01-07 13:26:11,delivered,True,0.66,0,0
pay_00bsy2h979h6om,2026-01-02 08:32:20,2026-01-03 11:23:12,delivered,True,0.84,0,0
pay_1i14kbgps05zuo,2026-01-02 08:36:00,2026-01-08 13:07:57,returned,True,0.87,0,0
pay_hy2s2qwuh2rjzy,2026-01-02 08:52:40,2026-01-08 18:29:52,returned,False,0.81,0,0
pay_ogbzqnoqvypu2w,2026-01-02 08:55:33,2026-01-06 04:47:54,lost,False,0.62,0,0
pay_g1r6y1vh9d4pox,2026-01-02 09:00:50,2026-01-09 22:46:00,delivered,True,0.7,0,0
pay_z3ka66rzxahdz6,2026-01-02 09:02:43,2026-01-05 02:47:02,delivered,True,0.61,0,0
pay_qullpitcl9r5gu,2026-01-02 09:11:59,2026-01-09 04:10:53,delivered,True,0.84,0,0
pay_xgipqe0fqot63d,2026-01-02 09:14:29,2026-01-10 03:14:19,delivered,True,0.85,0,0
pay_c94rivur5dkhum,2026-01-02 09:14:55,2026-01-06 19:41:53,delivered,True,0.77,0,0
pay_fuw2gevtcu49pr,2026-01-02 09:15:16,2026-01-05 01:30:59,delivered,True,0.68,0,0
pay_0e6fcmf0omzvhm,2026-01-02 09:56:27,2026-01-08 22:40:04,delivered,True,0.56,0,0
pay_einnczrtla0vuq,2026-01-02 10:02:06,2026-01-04 08:55:19,delivered,True,0.88,0,0
pay_j0adp3r4ruzhgu,2026-01-02 10:05:57,2026-01-07 03:05:52,delivered,True,0.92,0,0
pay_tclb1erw4ta8td,2026-01-02 10:11:30,2026-01-10 09:43:44,lost,True,0.75,0,0
pay_3te49bs2hiaetb,2026-01-02 10:39:54,2026-01-05 11:18:07,delivered,True,0.82,0,0
pay_12f2ymbdiqyd61,2026-01-02 11:45:09,2026-01-09 21:28:02,delivered,True,0.75,0,0
pay_vqz3zvhjjdqxam,2026-01-02 11:49:54,2026-01-11 15:08:00,returned,True,0.47,0,0
pay_3p9h3i4j6o95wt,2026-01-02 11:59:37,2026-01-04 00:48:43,delivered,True,0.9,0,0
pay_xr5hiz4oe4axsf,2026-01-02 12:24:03,2026-01-05 00:33:11,delivered,True,0.86,0,0
pay_p9u3t34gysokw6,2026-01-02 12:30:56,,delivered,True,0.77,1,0
pay_yuq0pz5689h6lk,2026-01-02 12:34:53,2026-01-06 05:10:43,lost,True,0.66,0,0
pay_a5wte8qkp2hvu5,2026-01-02 13:19:05,2026-01-06 14:10:51,delivered,True,0.69,0,0
pay_3kunclwksj9ttm,2026-01-02 13:19:55,2026-01-08 00:12:32,delivered,True,0.78,0,0
pay_84km4qrtvjpw8m,2026-01-02 13:39:12,2026-01-04 05:47:11,delivered,True,0.55,0,0
pay_f1cuadnbo1e27k,2026-01-02 13:55:10,2026-01-03 19:23:12,delivered,True,0.83,0,0
pay_f91ne01gtntsm2,2026-01-02 14:13:50,2026-01-09 02:31:10,delivered,True,0.72,0,0
pay_lrj03ktnn55jhn,2026-01-02 14:25:04,2026-01-04 20:32:37,delivered,True,0.94,0,0
pay_ejixwzykqrt6qs,2026-01-02 14:32:04,2026-01-09 07:42:25,delivered,True,0.49,0,0
pay_ij47nzv3un8qx0,2026-01-02 14:45:35,2026-01-05 13:26:29,delivered,True,0.39,0,0
pay_jpfo3x5b2r00wq,2026-01-02 14:45:51,2026-01-04 17:28:49,delivered,True,0.85,0,0
pay_rd7eew9eji9m88,2026-01-02 14:51:47,2026-01-12 20:03:47,delivered,False,0.54,0,0
pay_whxqsrz4xy5o1i,2026-01-02 14:57:12,2026-01-03 13:54:11,delivered,True,0.47,0,0
pay_nzlj2lmblj7er9,2026-01-02 14:57:50,2026-01-04 07:21:08,delivered,True,0.72,0,0
pay_vs6l7efpnk13rd,2026-01-02 15:01:21,2026-01-05 19:31:06,delivered,True,0.89,0,0
pay_gauq0ksw9p3lla,2026-01-02 15:03:30,2026-01-06 04:23:06,delivered,True,0.51,0,0
pay_tbkcav1e4t0md3,2026-01-02 15:05:10,2026-01-09 11:12:09,delivered,False,0.7,0,0
pay_wa9v3tqiupummg,2026-01-02 15:21:50,2026-01-11 11:56:35,delivered,True,0.75,0,0
pay_f9mxu72p83aoko,2026-01-02 15:46:45,2026-01-05 16:02:21,delivered,True,0.74,0,0
pay_tzi6geyj7523nw,2026-01-02 15:57:40,2026-01-12 10:43:31,delivered,True,0.53,0,0
pay_nphl2u283ep9u8,2026-01-02 16:15:12,2026-01-05 16:05:48,delivered,True,0.67,0,0
pay_suw61ikyvu029b,2026-01-02 16:16:50,2026-01-03 20:08:46,delivered,True,0.87,0,0
pay_l1qz1yazertwlr,2026-01-02 16:34:41,2026-01-03 10:30:03,delivered,True,0.85,0,0
pay_o5lknfzuk3plc3,2026-01-02 16:47:22,2026-01-07 13:40:50,delivered,True,0.73,0,0
pay_gy6cdcztn72vm1,2026-01-02 16:47:39,2026-01-21 09:06:49,returned,True,0.58,0,0
pay_leimyp6dke27gl,2026-01-02 16:52:47,2026-01-14 23:21:34,delivered,True,0.92,0,0
pay_8i64t38okdfwen,2026-01-02 16:53:38,2026-01-03 13:40:04,delivered,True,0.72,0,0
pay_fz3a49icknqx62,2026-01-02 17:05:23,2026-01-03 22:03:13,delivered,True,0.8,0,0
pay_u2xstztf0c4wtn,2026-01-02 17:12:30,2026-01-09 01:55:31,returned,True,0.45,0,0
pay_8l5l9k9wx5cbt0,2026-01-02 17:15:13,2026-01-06 00:49:35,returned,False,0.54,0,0
pay_l16mu7t5pqyjbr,2026-01-02 17:19:37,2026-01-11 01:15:25,delivered,True,0.44,0,0
pay_2ynhm868u07y81,2026-01-02 17:21:02,2026-01-11 21:49:13,delivered,True,0.92,0,0
pay_u8ore179vyunkj,2026-01-02 17:25:15,2026-01-05 16:23:26,delivered,True,0.52,0,0
pay_27f98cv0bxjys5,2026-01-02 17:40:24,2026-01-04 09:01:55,delivered,True,0.92,0,0
pay_mjuoj2ylprs2d7,2026-01-02 17:42:08,2026-01-04 08:55:28,delivered,True,0.73,0,0
pay_dggviwwocoh9wq,2026-01-02 17:52:14,2026-01-07 20:44:30,delivered,True,0.61,0,0
pay_njwtb9tkcby6kl,2026-01-02 17:52:55,2026-01-16 20:19:42,delivered,False,0.95,0,0
pay_dx4nyumzrulz2x,2026-01-02 17:54:21,2026-01-11 15:27:55,delivered,True,0.88,0,0
pay_fztgvb68ur2f7r,2026-01-02 18:03:54,2026-01-05 12:35:54,delivered,False,0.95,0,0
pay_pxe5yjln83xdyg,2026-01-02 18:05:31,2026-01-06 19:43:19,delivered,True,0.71,0,0
pay_fwz3gh4vtq013j,2026-01-02 18:13:38,2026-01-14 19:45:35,lost,True,0.63,0,0
pay_y7aur5intgg24q,2026-01-02 18:20:12,2026-01-11 12:07:44,delivered,True,0.59,0,0
pay_hdr9qk533jqch7,2026-01-02 18:22:55,2026-01-09 00:14:15,delivered,True,0.74,0,0
pay_rixkikzpp15ey2,2026-01-02 18:35:21,2026-01-14 11:54:13,delivered,True,0.61,0,0
pay_lwmimtvy0myu8i,2026-01-02 18:44:23,2026-01-09 13:22:41,returned,True,0.69,0,0
pay_kp04exzi9w7i3m,2026-01-02 18:58:30,2026-01-06 06:47:19,delivered,True,0.83,0,0
pay_u2w4q54fwlvg1r,2026-01-02 19:10:33,2026-01-16 11:31:14,lost,True,0.64,0,0
pay_6ku4259eeyc62g,2026-01-02 19:35:43,2026-01-04 08:56:02,delivered,True,0.86,0,0
pay_ijwhaqij1bhw9x,2026-01-02 19:36:09,2026-01-05 07:14:46,delivered,True,0.9,0,0
pay_4o6kqzhrlxezlu,2026-01-02 19:39:10,2026-01-06 07:10:38,delivered,True,0.7,0,0
pay_525pghydxhfgc7,2026-01-02 19:48:48,2026-01-06 00:24:51,delivered,True,0.93,0,0
pay_1sem6yqvbf6quo,2026-01-02 19:49:31,2026-01-10 21:19:03,returned,True,0.73,0,0
pay_8w2qw3khaymgu5,2026-01-02 19:52:36,2026-01-06 00:42:00,delivered,True,0.73,0,0
pay_qrxw3rx4nrehf9,2026-01-02 20:03:02,2026-01-07 22:17:35,delivered,True,0.61,0,0
pay_nyae6zwlboqnnb,2026-01-02 20:04:53,2026-01-07 21:14:13,delivered,True,0.64,0,0
pay_ig1suwfuux9qh9,2026-01-02 20:14:23,2026-01-08 22:44:11,returned,True,0.77,0,0
pay_xlfa3vnjnpcdzv,2026-01-02 20:15:13,2026-01-05 08:37:16,delivered,True,0.53,0,0
pay_w891kv7wqcl7qo,2026-01-02 20:19:32,2026-01-07 12:20:17,delivered,True,0.83,0,0
pay_ngk63372rreeln,2026-01-02 20:41:17,2026-01-06 06:19:15,delivered,True,0.76,0,0
pay_lxn9hd02ygz1g5,2026-01-02 20:45:52,2026-01-09 16:49:11,delivered,True,0.78,0,0
pay_k316f3nsli7hpr,2026-01-02 20:49:29,2026-01-09 20:56:39,delivered,True,0.81,0,0
pay_mocwp1bc11ku3m,2026-01-02 20:52:44,2026-01-12 04:59:52,returned,True,0.62,0,0
pay_1bk4phllkxbn88,2026-01-02 20:57:15,2026-01-04 11:32:21,delivered,False,0.51,0,0
pay_men812j0wzm9h2,2026-01-02 21:02:51,2026-01-04 09:08:32,delivered,True,0.65,0,0
pay_siu6wniccx7jeb,2026-01-02 21:05:06,2026-01-04 17:58:23,delivered,True,0.92,0,0
pay_nssbf16jnjani8,2026-01-02 21:09:55,2026-01-07 11:50:06,delivered,True,0.61,0,0
pay_nu780ula3qby1f,2026-01-02 21:14:01,2026-01-08 07:15:21,delivered,True,0.62,0,0
pay_0bx396pgi6dabb,2026-01-02 21:19:36,2026-01-05 02:47:27,delivered,True,0.67,0,0
pay_ldiucv9945kuzb,2026-01-02 21:20:50,2026-01-08 01:55:58,delivered,True,0.82,0,0
pay_noumejz9fsv8yd,2026-01-02 21:21:38,2026-01-06 19:10:03,delivered,True,0.55,0,0
pay_8j3poc4e0327pz,2026-01-02 21:28:40,2026-01-03 13:29:30,delivered,False,0.77,0,0
pay_4pj7k0h8wtgrwc,2026-01-02 21:32:22,2026-01-07 13:56:25,delivered,True,0.59,0,0
pay_mesx7x1qj5ugav,2026-01-02 21:39:19,2026-01-09 09:11:32,delivered,True,0.57,0,0
pay_r0yezcplef5r15,2026-01-02 21:41:05,2026-01-08 14:16:10,delivered,True,0.51,0,0
pay_nfupoi81cytxlr,2026-01-02 21:44:53,2026-01-08 08:14:34,delivered,True,0.93,0,0
pay_tj5cunioxi8nio,2026-01-02 21:51:09,2026-01-06 06:15:06,delivered,True,0.39,0,0
pay_7jry30q1q8x8gh,2026-01-02 21:54:37,2026-01-04 13:11:50,delivered,True,0.74,0,0
pay_n3opky7qiphx0y,2026-01-02 22:18:28,2026-01-06 16:49:14,returned,True,0.34,0,0
pay_rcdgbd9nrtsfxu,2026-01-02 22:20:47,2026-01-11 17:32:17,delivered,True,0.84,0,0
pay_3ln3y1p50zruu7,2026-01-02 22:25:55,2026-01-04 08:01:44,delivered,True,0.61,0,0
pay_pibv225ie1kxye,2026-01-02 22:29:34,2026-01-05 15:41:50,delivered,True,0.82,0,0
pay_kecjpehhvv1zvr,2026-01-02 22:31:37,2026-01-06 18:51:44,lost,False,0.7,0,0
pay_ynsjghwpi6bk1j,2026-01-02 22:34:34,2026-01-08 04:18:54,delivered,True,0.81,0,0
pay_rh2nkikr3n4nu5,2026-01-02 22:38:56,2026-01-06 20:43:45,delivered,True,0.55,0,0
pay_2gof44zlwdki9u,2026-01-02 22:57:31,2026-01-07 10:50:10,lost,True,0.83,0,0
pay_xhlgrleknn77id,2026-01-02 23:07:19,2026-01-10 21:09:21,returned,True,0.26,0,0
pay_i0t5ovaodx6b87,2026-01-02 23:12:58,2026-01-06 15:25:39,delivered,True,0.76,0,0
pay_ww4d0gt6w5327x,2026-01-02 23:24:21,2026-01-08 08:02:49,delivered,True,0.9,0,0
pay_x8ks1cs61cqyo4,2026-01-02 23:27:41,2026-01-05 20:25:39,delivered,True,0.79,0,0
pay_t43ln1dwl6rk65,2026-01-02 23:34:28,2026-01-14 12:44:42,delivered,True,0.92,0,0
pay_p0olcoqcm02753,2026-01-02 23:35:35,2026-01-04 13:43:06,delivered,True,0.84,0,0
pay_axvz888d4198qi,2026-01-02 23:35:36,2026-01-09 14:25:22,delivered,True,0.65,0,0
pay_13fza9w701ff0g,2026-01-02 23:37:31,2026-01-10 03:28:20,delivered,True,0.43,0,0
pay_su2vg7wea53he7,2026-01-02 23:49:04,2026-01-05 10:51:08,delivered,True,0.78,0,0
pay_3uxbvbg42iilvr,2026-01-02 23:49:39,2026-01-12 14:43:25,delivered,True,0.75,0,0
pay_4rn597i8pt943v,2026-01-02 23:54:22,2026-01-06 00:32:20,delivered,True,0.85,0,0
pay_7chhal97c2kdmu,2026-01-02 23:55:45,2026-01-05 16:17:08,delivered,True,0.97,0,0
pay_cxc9rna50vcb6n,2026-01-03 00:08:13,2026-01-09 15:15:16,returned,True,0.32,0,0
pay_07ecc95gqkeew0,2026-01-03 00:11:39,2026-01-08 08:32:28,delivered,True,0.63,0,0
pay_ljlj4qz7wqcmmd,2026-01-03 00:12:01,2026-01-26 04:54:28,delivered,True,0.86,0,0
pay_4qc5rjy9x45ihe,2026-01-03 00:22:32,2026-01-12 04:00:18,delivered,True,0.49,0,0
pay_nfrws7mqq63nux,2026-01-03 00:44:31,2026-01-06 01:34:14,delivered,True,0.66,0,0
pay_uy12oubz1a3lqm,2026-01-03 00:50:30,2026-01-05 15:51:41,delivered,True,0.77,0,0
pay_b4bm2ocjarbnci,2026-01-03 00:52:48,2026-01-07 14:32:45,delivered,True,0.76,0,0
pay_pd73io7zwkaa4c,2026-01-03 01:03:16,2026-01-08 04:12:31,delivered,True,0.67,0,0
pay_m65puu9up5or1b,2026-01-03 01:15:39,2026-01-08 13:57:21,delivered,False,0.75,0,0
pay_oxhuf2591ivyu0,2026-01-03 01:36:50,2026-01-06 01:59:43,delivered,True,0.82,0,0
pay_nz5sclhx74kx3a,2026-01-03 01:47:04,2026-01-04 01:02:14,delivered,True,0.76,0,0
pay_ajz528ph0ml2pl,2026-01-03 02:02:10,2026-01-05 15:18:35,delivered,True,0.89,0,0
pay_2kpqhy61bsqxup,2026-01-03 02:02:52,2026-01-06 08:49:34,delivered,True,0.72,0,0
pay_offknmh6tjbryj,2026-01-03 02:06:45,2026-01-05 05:50:06,delivered,True,0.7,0,0
pay_bq2tm5mt973099,2026-01-03 02:09:40,2026-01-04 09:38:36,delivered,True,0.81,0,0
pay_zs49bj06tqc00l,2026-01-03 02:20:39,2026-01-04 10:42:19,delivered,True,0.57,0,0
pay_9z8w12r1mlu5pr,2026-01-03 02:27:12,2026-01-08 14:57:03,delivered,True,0.32,0,0
pay_37a0gzu61n32b8,2026-01-03 02:51:27,2026-01-05 13:06:09,delivered,False,0.92,0,0
pay_6ugn259f78g4ed,2026-01-03 03:03:40,2026-01-10 12:44:58,delivered,True,0.86,0,0
pay_98c0r00yujsnro,2026-01-03 03:07:15,2026-01-13 23:41:37,delivered,True,0.65,0,0
pay_fkxfzja1qbu9bs,2026-01-03 03:17:18,2026-01-06 06:01:09,delivered,False,0.69,0,0
pay_vq55a14f2j02kk,2026-01-03 03:26:25,2026-01-05 10:01:48,delivered,True,0.87,0,0
pay_6sgzk69ffixxyp,2026-01-03 03:33:19,2026-01-04 13:55:30,delivered,True,0.7,0,0
pay_l1394sz1mydux2,2026-01-03 03:49:26,2026-01-11 15:38:03,lost,True,0.85,0,0
pay_e8rrog57hcuqjn,2026-01-03 03:53:38,2026-01-06 07:33:12,delivered,True,0.92,0,0
pay_kz198q2s3m26yt,2026-01-03 03:53:59,2026-01-10 18:34:53,delivered,True,0.85,0,0
pay_0injn9dkdo8d6i,2026-01-03 03:55:51,2026-01-07 22:05:12,delivered,True,0.64,0,0
pay_u3b2fpvd9gut9t,2026-01-03 04:21:50,2026-01-08 11:34:26,delivered,True,0.74,0,0
pay_7nhfx8sudid3d2,2026-01-03 04:26:45,2026-01-04 03:33:13,delivered,True,0.89,0,0
pay_ae9lyqcvqmffr7,2026-01-03 04:51:47,2026-01-05 00:43:08,delivered,True,0.68,0,0
pay_nu2077fw55k2sw,2026-01-03 04:59:17,2026-01-05 12:26:14,delivered,True,0.7,0,0
pay_nbevt7vird7d5y,2026-01-03 05:04:50,2026-01-12 01:31:15,delivered,True,0.82,0,0
pay_969u7ewa69tiy0,2026-01-03 05:05:21,2026-01-05 01:48:09,delivered,True,0.72,0,0
pay_fj5h1ul467dims,2026-01-03 05:09:08,2026-01-07 09:07:46,delivered,True,0.61,0,0
pay_hh82gxne3d42pc,2026-01-03 05:20:40,2026-01-11 07:31:45,delivered,True,0.57,0,0
pay_yhbss4cz8l98bz,2026-01-03 05:33:10,2026-01-05 14:01:54,delivered,True,0.7,0,0
pay_6ksfgdba9lsxlk,2026-01-03 05:33:36,2026-01-08 03:29:11,delivered,True,0.73,0,0
pay_q96f1ssaxw4znn,2026-01-03 05:39:55,2026-01-11 10:43:16,delivered,True,0.74,0,0
pay_36uq8ig8j3q73w,2026-01-03 06:04:23,2026-01-05 07:56:20,delivered,True,0.74,0,0
pay_7k8umpz745ruzg,2026-01-03 06:13:17,2026-01-15 11:36:20,returned,False,0.57,0,0
pay_8ztqnx8u8mm5pn,2026-01-03 06:37:17,2026-01-09 14:11:10,returned,True,0.54,0,0
pay_8inn2hljxqkwo9,2026-01-03 06:38:58,2026-01-06 04:06:19,delivered,True,0.65,0,0
pay_89xamd52zwn24m,2026-01-03 06:41:08,2026-01-05 04:37:08,delivered,True,0.71,0,0
pay_h9u9aay36k6f38,2026-01-03 06:44:42,2026-01-11 02:03:36,delivered,True,0.84,0,0
pay_9gs8670bwi6085,2026-01-03 06:45:15,2026-01-07 04:19:00,delivered,True,0.69,0,0
pay_gpjyl66brmlb2a,2026-01-03 06:53:10,2026-01-05 07:02:36,delivered,True,0.66,0,0
pay_ommwovus9e2at8,2026-01-03 06:55:00,2026-01-08 20:08:03,delivered,True,0.44,0,0
pay_wtmtw3r3t3smc8,2026-01-03 07:01:59,2026-01-08 18:55:03,delivered,True,0.71,0,0
pay_ymr5kw0zyxpq7s,2026-01-03 07:02:04,2026-01-09 21:29:37,delivered,True,0.8,0,0
