payment_id,created_at,amount,log_amount,amount_vs_merchant_avg_ratio,hour_of_day,day_of_week,is_night_txn,retry_count,checkout_latency_ms,is_foreign_bin,is_first_txn_for_device,account_age_implausible,account_age_days_at_txn,refund_window_days,delivery_sla_days_filled,is_physical_goods,phone_verified,method,merchant_category,email_domain_type,txns_last_24h,txns_last_7d,distinct_devices_30d,amount_vs_own_avg,has_prior_history,ip_state_changed_from_prev_txn,prior_disputes_before_this_txn,merchant_dispute_rate_trailing_90d,is_disputed
pay_ticoavokdwk7z3,2026-01-01 06:22:04,5313.77,8.578245016086186,1.2581556354268775,6,3,0,0,1696,0,1,0,131,7,0,0,1,card,edtech,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_inqjab5ie2spmj,2026-01-01 06:23:48,10221.07,9.232304387279733,1.0833831510217926,6,3,0,0,14947,0,1,0,1806,2,7,1,1,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ki8woe3zkarw0n,2026-01-01 06:53:12,583.0,6.369900982828227,1.2429643527204501,6,3,0,0,1207,0,1,0,37,14,0,0,1,upi,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_mfruvybdnuf1pw,2026-01-01 07:32:30,786.4,6.668736378509637,0.612270320772345,7,3,0,1,1032,0,1,0,1176,15,7,1,1,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_4l1z4fg3ktqn8q,2026-01-01 07:38:10,1226.33,7.112596357205962,0.9547882279663655,7,3,0,0,2351,0,1,0,211,15,7,1,1,card,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_3te49bs2hiaetb,2026-01-01 07:40:51,1464.08,7.289665127468765,0.943247195861278,7,3,0,0,923,0,1,0,74,15,4,1,0,wallet,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_oevebhac0y1hot,2026-01-01 07:50:53,232.0,5.4510384535657,0.5898355070805685,7,3,0,0,1589,0,1,0,247,5,0,0,1,upi,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_mttftsuxk580ki,2026-01-01 07:51:26,211.0,5.356586274672012,0.5591181302665749,7,3,0,0,7474,1,1,0,1538,14,0,0,1,card,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_b5dd0jpbe03ifl,2026-01-01 07:55:19,211.0,5.356586274672012,0.5591181302665749,7,3,0,0,3432,0,1,0,137,14,0,0,0,upi,subscription,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ab88a68yw7pvcn,2026-01-01 08:09:59,586.0,6.375024819828097,1.1222398835628244,8,3,0,0,4252,0,1,0,116,0,0,0,1,card,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_s9wg75bih98etm,2026-01-01 08:10:46,2081.36,7.641257144890413,1.7212844962330156,8,3,0,1,2130,0,1,0,201,21,5,1,0,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,1
pay_775h59isbk2p84,2026-01-01 08:23:43,1777.9,7.483750474731224,1.112968249198718,8,3,0,0,2215,0,1,0,147,21,3,1,0,upi,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_lzaie0nk27f8tp,2026-01-01 08:42:09,83.0,4.430816798843313,0.23429119855473382,8,3,0,0,970,0,1,0,239,3,0,0,0,wallet,gaming,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_nphl2u283ep9u8,2026-01-01 08:44:46,340.0,5.831882477283517,0.42155902446282223,8,3,0,0,4130,0,1,0,205,5,2,1,1,netbanking,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_zmwg81sawlt0bz,2026-01-01 08:50:37,5191.7,8.555009072100463,0.5502946663274824,8,3,0,0,3325,0,1,0,1491,2,7,1,1,card,travel,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_0e6fcmf0omzvhm,2026-01-01 08:51:23,1260.0,7.13966033596492,1.5084220229615353,8,3,0,0,2090,0,1,0,71,1,3,1,1,upi,ticketing,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ix9qxv58hxnukp,2026-01-01 08:54:32,232.0,5.4510384535657,0.5898355070805685,8,3,0,1,913,0,1,0,106,5,0,0,1,upi,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_4vx9k44tl99yig,2026-01-01 08:56:28,260.0,5.564520407322694,0.6023956812863465,8,3,0,0,988,0,1,0,246,3,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hy2s2qwuh2rjzy,2026-01-01 09:00:24,3856.69,8.257823837722983,1.7721478853823955,9,3,0,0,7377,0,1,0,1079,15,7,1,1,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_cclzqvcxfvbid0,2026-01-01 09:05:31,465.0,6.144185634125646,0.9482635560902991,9,3,0,0,4970,0,1,0,901,3,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_v5e6q5o1rxnyro,2026-01-01 09:08:49,1288.98,7.1623819933595625,0.8069035456730769,9,3,0,0,4814,0,1,0,108,21,3,1,0,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_zjbr1zulfbznhq,2026-01-01 09:09:55,1438.55,7.272085843731746,0.3266306556680994,9,3,0,0,2995,0,1,0,82,15,0,0,1,netbanking,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_qyfugujdsrd42h,2026-01-01 09:15:30,520.0,6.255750041753367,0.8616689865447074,9,3,0,1,8545,0,1,0,87,5,3,1,1,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_perho56f2o8wb7,2026-01-01 09:16:02,93.0,4.543294782270004,0.23655695172203287,9,3,0,0,3207,0,1,0,554,5,2,1,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_i7izu5gep4l3l3,2026-01-01 09:21:18,1884.0,7.541683099882111,4.792185989723762,9,3,0,0,3476,0,1,0,80,5,2,1,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_xc37y0fkyddcfk,2026-01-01 09:25:26,263.0,5.575949103146316,0.5036673880153973,9,3,0,0,3731,0,1,0,134,0,0,0,1,wallet,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_xph7hir8zyviui,2026-01-01 09:34:10,370.0,5.916202062607435,0.6131106250414263,9,3,0,0,12388,0,1,0,167,5,3,1,1,netbanking,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_yp4ij7t8k9wgbr,2026-01-01 09:41:58,12198.91,9.409183853644958,0.816752556094824,9,3,0,0,4272,0,1,0,122,14,2,1,1,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_o7ktdu5itijegw,2026-01-01 09:49:30,953.06,6.860726562552361,0.5966170873397435,9,3,0,1,1262,0,1,0,839,21,3,1,0,upi,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_fnt16my66rymgk,2026-01-01 09:50:05,603.0,6.403574197934815,1.1465404141235527,9,3,0,0,585,0,1,0,73,3,0,0,1,upi,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_2ojm2ywcuguigx,2026-01-01 10:04:02,159.0,5.075173815233827,0.6118443837303267,10,3,0,0,1481,0,1,0,1310,2,0,0,1,wallet,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_g1r6y1vh9d4pox,2026-01-01 10:04:44,4711.09,8.457886825318797,3.667930551230146,10,3,0,0,723,0,1,0,26,15,7,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_6ku4259eeyc62g,2026-01-01 10:09:25,270.0,5.602118820879701,0.3347674606028294,10,3,0,0,674,0,1,0,1248,5,2,1,1,upi,ticketing,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_3xwmbzeny0aoe0,2026-01-01 10:13:11,2258.02,7.7226863699038,1.0375595052107265,10,3,0,0,1996,0,1,0,408,15,7,1,1,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ai24qmbovdfrp2,2026-01-01 10:15:18,232.0,5.4510384535657,0.5898355070805685,10,3,0,0,1030,0,1,0,1534,5,0,0,1,wallet,gaming,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_s5ds7vjjcylelb,2026-01-01 10:17:45,1560.08,7.353133168401468,1.290185992275821,10,3,0,0,2223,0,1,0,31,21,5,1,1,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_2mzru4hvqbeh5d,2026-01-01 10:18:32,956.0,6.863803391452954,2.211171504568058,10,3,0,0,1884,0,1,0,180,2,0,0,1,wallet,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hh2tucm66j2m0f,2026-01-01 10:30:34,1478.0,7.2991214627108,0.8463657239061095,10,3,0,0,2553,0,1,0,142,7,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_uek2darybxsjb4,2026-01-01 10:33:49,575.0,6.3561076606958915,1.241364421416235,10,3,0,0,4310,0,1,0,131,5,0,0,1,upi,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_tbkcav1e4t0md3,2026-01-01 10:35:58,33861.19,10.430054331681827,3.5891196048503353,10,3,0,1,6039,0,1,0,1752,2,7,1,1,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_3ln3y1p50zruu7,2026-01-01 10:36:15,506.12,6.228747661975911,0.31683193108974356,10,3,0,0,4612,0,1,0,245,21,3,1,0,card,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_0m2p8dxfpbltz3,2026-01-01 10:36:44,29502.35,10.292259095202573,1.8847090720112332,10,3,0,2,5558,0,1,0,390,7,2,1,1,emi,travel,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_o6dnne77dktr32,2026-01-01 10:37:10,66.0,4.204692619390966,0.25397314041636204,10,3,0,2,8169,0,1,0,598,2,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_b5h15e5ivesdrm,2026-01-01 10:42:54,543.04,6.299022773564553,0.6116004054510643,10,3,0,0,3341,0,1,0,44,30,5,1,1,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_tnnb3uyk3liohq,2026-01-01 10:45:08,1910.0,7.555381944240273,2.9478493047088423,10,3,0,0,1498,0,1,0,551,7,3,1,1,wallet,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_dwf91fjrdotw7v,2026-01-01 10:49:05,7879.19,8.97210729423637,0.5275347201066961,10,3,0,0,3424,0,1,0,171,14,2,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_5acwa2y1mx2dkc,2026-01-01 10:50:02,1213.78,7.102318269420657,0.7598282251602564,10,3,0,0,843,0,1,0,1380,21,3,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_xuy7qsmhc9yp0l,2026-01-01 10:57:51,434.0,6.075346031088684,1.0038163524921937,10,3,0,0,1290,0,1,0,397,2,0,0,0,wallet,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_pciuqre9i53emz,2026-01-01 11:02:39,263.0,5.575949103146316,0.5036673880153973,11,3,0,2,2793,0,1,0,656,0,0,0,1,card,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_bclexnemcgphto,2026-01-01 11:03:08,8091.8,8.998730056475646,0.7197880789046711,11,3,0,0,6270,0,1,0,546,2,5,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_vuqsj0ioh9kyj6,2026-01-01 11:09:00,9815.95,9.191865762473887,0.9605803829619416,11,3,0,0,7643,0,1,0,402,30,2,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_5coozr7g1bahgz,2026-01-01 11:13:43,737.0,6.6039438246004725,2.0803929317450462,11,3,0,0,3145,0,1,0,115,3,0,0,1,upi,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_rwfcx6ehnn80pf,2026-01-01 11:24:30,6082.29,8.713300947029486,0.5952076424070607,11,3,0,2,7177,0,1,0,706,30,2,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_rb4v9ixe3pqik9,2026-01-01 11:25:16,232.0,5.4510384535657,0.5898355070805685,11,3,0,0,672,0,1,0,269,5,0,0,1,upi,gaming,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_jzpd9sih6i1krb,2026-01-01 11:25:33,429.0,6.063785208687608,1.1702127659574468,11,3,0,0,2934,0,1,0,738,5,0,0,1,upi,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_yln7duxlp9b4wk,2026-01-01 11:26:35,586.0,6.375024819828097,1.1222398835628244,11,3,0,0,5306,0,1,0,2168,0,0,0,1,card,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_nn0j0jqaols6u6,2026-01-01 11:27:33,5150.88,8.547116975587462,1.0265706837586397,11,3,0,0,8278,0,1,0,1134,30,0,0,1,card,edtech,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ubg70g0cwucd6r,2026-01-01 11:33:28,116.0,4.762173934797756,0.23655606990639721,11,3,0,0,3812,0,1,0,35,3,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_43hdcavgqhm55z,2026-01-01 11:37:29,266.0,5.58724865840025,1.0235887174356408,11,3,0,0,8866,0,1,0,279,2,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_drr4b1wkyijp9b,2026-01-01 11:38:12,1416.08,7.256353695401191,0.8864683493589742,11,3,0,0,5439,0,1,0,28,21,3,1,0,card,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_bj3q8efrngazml,2026-01-01 11:42:55,891.64,6.7941833640972185,0.5581680689102564,11,3,0,0,1152,0,1,0,774,21,3,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ynsjghwpi6bk1j,2026-01-01 11:43:29,559.98,6.329685254263312,0.25731064017497746,11,3,0,0,1538,0,1,0,226,15,7,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_3fem5kqx586a53,2026-01-01 11:51:09,253.0,5.537334267018537,0.5576003350009917,11,3,0,0,1548,0,1,0,318,3,0,0,1,upi,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ij47nzv3un8qx0,2026-01-01 11:51:22,1292.02,7.164735846556329,0.7398656580522136,11,3,0,0,1594,0,1,0,1287,7,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_nab9qdcjejlbev,2026-01-01 11:52:40,708.62,6.56472961549108,0.45653504448610654,11,3,0,1,2660,0,1,0,562,15,4,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_24cnko5frbre4j,2026-01-01 11:55:09,1270.0,7.147559271189454,1.5746469443170124,11,3,0,1,3165,0,1,0,202,5,2,1,0,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_yac3ja8fy1kdks,2026-01-01 11:55:51,2194.08,7.693973771314363,0.47320983740205624,11,3,0,1,2726,0,1,0,849,30,0,0,1,card,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_xzaza639o80fa5,2026-01-01 11:57:01,779.98,6.6605495413171685,0.4466497546226572,11,3,0,0,1185,0,1,0,237,7,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hi83cvqc62g0i6,2026-01-01 11:58:31,376.0,5.932245187448011,0.9564022994353157,11,3,0,0,7978,0,1,0,36,5,2,1,1,upi,gaming,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_fp0g6o2v6e736z,2026-01-01 12:02:11,3562.38,8.178464811616955,0.34861142779414744,12,3,0,0,4450,0,1,0,2024,30,2,1,1,upi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_w4nf049n690kg1,2026-01-01 12:03:39,653.01,6.483122641860177,0.7354544430679131,12,3,0,0,2504,0,1,0,80,30,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,1
pay_c94rivur5dkhum,2026-01-01 12:03:46,740.0,6.608000625296087,1.2262212500828527,12,3,0,0,3731,0,1,0,1853,5,3,1,1,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_ra2uboad56stgs,2026-01-01 12:04:36,15455.12,9.645760320397315,1.6381667090646996,12,3,0,0,8087,0,1,0,1539,2,7,1,1,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_fu8tlpj5phq3gt,2026-01-01 12:10:13,271.0,5.605802066295998,0.5152776985530394,12,3,0,0,3263,0,1,0,852,3,0,0,1,card,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_bw1fp9e0f63g4j,2026-01-01 12:22:29,731.25,6.596121985707843,0.8235724743777453,12,3,0,0,1726,0,1,0,1,30,5,1,0,upi,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_t530anpgrju1md,2026-01-01 12:25:46,848.59,6.744753880173583,0.5312186999198718,12,3,0,0,6814,0,1,0,2002,21,3,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_mjuoj2ylprs2d7,2026-01-01 12:26:52,830.0,6.7226297948554485,0.8915528057059379,12,3,0,0,1785,0,1,0,71,1,2,1,1,upi,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_79bkeocxoqf2te,2026-01-01 12:28:21,6582.07,8.792256480861138,1.7978787332492037,12,3,0,1,5439,0,1,0,1749,7,0,0,0,emi,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_rt5uwbpv7c1qhq,2026-01-01 12:33:39,263.0,5.575949103146316,0.5036673880153973,12,3,0,2,1826,0,1,0,206,0,0,0,1,wallet,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_tqs9718v9ff6ry,2026-01-01 12:37:30,190.85,5.256713816692962,0.11947240584935896,12,3,0,0,3337,0,1,0,644,21,3,1,1,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_mbdksa9tzfmiyi,2026-01-01 12:37:34,1130.0,7.030857476116121,1.213800807768325,12,3,0,1,2894,0,1,0,574,1,2,1,1,upi,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hy4djlp27xdxq4,2026-01-01 12:38:05,460.0,6.133398042996649,0.49411360316232705,12,3,0,1,1174,0,1,0,54,1,2,1,1,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_mju3u95db0ocoy,2026-01-01 12:55:39,1356.39,7.2133190172173265,0.3704951079207434,12,3,0,0,2519,0,1,0,91,7,0,0,1,upi,edtech,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_yuq0pz5689h6lk,2026-01-01 12:59:04,270.0,5.602118820879701,0.2900232018561485,12,3,0,0,1453,0,1,0,103,1,2,1,1,upi,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_wa9v3tqiupummg,2026-01-01 13:03:23,673.02,6.5132597840625595,0.5239956399875427,13,3,0,0,926,0,1,0,1720,15,7,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_9wz1v01jmifeqd,2026-01-01 13:11:19,262.0,5.572154032177765,0.5585877537097049,13,3,0,0,1001,0,1,0,120,14,0,0,1,upi,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_jhjj89g7nddxz3,2026-01-01 13:20:23,26137.78,10.171175314321646,2.3099441200565956,13,3,0,1,3269,0,1,0,1694,1,1,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_4dsry0thkomfai,2026-01-01 13:24:36,496.82,6.210238565904249,0.4108700865868887,13,3,0,0,2497,0,1,0,65,21,5,1,1,card,d2c,disposable,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_r0yezcplef5r15,2026-01-01 13:26:30,2260.16,7.723633234922399,1.7597010277172218,13,3,0,0,2621,0,1,0,148,15,7,1,1,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_bq2tm5mt973099,2026-01-01 13:29:21,59123.88,10.987407096193866,3.958515975299731,13,3,0,2,5065,0,1,0,2064,14,2,1,1,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_0e4830yszd9djq,2026-01-01 13:31:46,223.0,5.4116460518550396,0.49524740161677183,13,3,0,0,1569,0,1,0,529,7,0,0,1,upi,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_fje103umveend2,2026-01-01 13:38:08,19335.62,9.869755986412084,1.7199570891804958,13,3,0,0,3497,0,1,0,90,2,5,1,0,emi,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_2ynhm868u07y81,2026-01-01 13:47:24,353.09,5.869551118109087,0.397668656380223,13,3,0,0,2847,0,1,0,382,30,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_kcw6ca2csp3mtu,2026-01-01 13:55:47,1407.0,7.249925536717988,2.694524771626099,13,3,0,0,1152,0,1,0,93,0,0,0,1,upi,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_adcrkgjfw9lq9k,2026-01-01 14:04:27,2219.58,7.705523702004807,1.835592421372985,14,3,0,0,2705,0,1,0,304,21,5,1,0,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_jpfo3x5b2r00wq,2026-01-01 14:06:24,20213.84,9.914172267128881,1.3533754645695228,14,3,0,0,5087,0,1,0,150,14,2,1,0,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_vgn0i3eyfieax9,2026-01-01 14:08:54,8708.69,9.072191477938766,0.9230783091664547,14,3,0,0,5694,0,1,0,1367,2,7,1,1,netbanking,travel,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_caevcutjrs5j8n,2026-01-01 14:10:05,5245.12,8.565244034736303,1.190933220713817,14,3,0,0,3399,0,1,0,171,15,0,0,1,netbanking,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,1
pay_p1q3h5cgb3mftq,2026-01-01 14:17:47,266.0,5.58724865840025,1.0235887174356408,14,3,0,0,4602,0,1,0,358,2,0,0,1,netbanking,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_2kpqhy61bsqxup,2026-01-01 14:20:23,1497.27,7.312066388156257,0.9372934194711539,14,3,0,0,2336,0,1,0,112,21,3,1,1,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_y4j6e2y5k2eeha,2026-01-01 14:34:56,982.31,6.890924431570664,0.45137114709504284,14,3,0,0,2588,0,1,0,207,15,7,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_vxqcgm7ke5doic,2026-01-01 14:39:44,159.0,5.075173815233827,0.6118443837303267,14,3,0,0,4944,0,1,0,469,2,0,0,1,card,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hkz3ej0f6x5rx1,2026-01-01 14:41:41,2079.97,7.640589410143637,0.9490905938289969,14,3,0,0,2530,0,1,0,968,14,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
